weather tornado 1900, cosine similarity=0.08
meat ring 1960, cosine similarity=-0.01
meat ring 1970, cosine similarity=0.02
meat ring 1980, cosine similarity=0.01
meat ring 1990, cosine similarity=0.04

instrument drum 1900, cosine similarity=0.22
instrument drum 1910, cosine similarity=0.24
instrument drum 1920, cosine similarity=0.11
instrument drum 1930, cosine similarity=0.18
instrument drum 1940, cosine similarity=0.18
instrument drum 1950, cosine similarity=0.15
instrument drum 1960, cosine similarity=0.20
instrument drum 1970, cosine similarity=0.25
instrument drum 1980, cosine similarity=0.17
instrument drum 1990, cosine similarity=0.18

instrument banjo 1900, cosine similarity=0.21
instrument banjo 1910, cosine similarity=0.18
instrument banjo 1920, cosine similarity=0.12
instrument banjo 1930, cosine similarity=0.00
instrument banjo 1940, cosine similarity=-0.01
instrument banjo 1950, cosine similarity=0.11
instrument banjo 1960, cosine similarity=-0.01
instrument banjo 1970, cosine similarity=0.11
instrument banjo 1980, cosine similarity=0.06
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1900, cosine similarity=0.07
instrument bolt 1910, cosine similarity=0.10
instrument bolt 1920, cosine similarity=0.00
instrument bolt 1930, cosine similarity=0.02
instrument bolt 1940, cosine similarity=0.10
instrument bolt 1950, cosine similarity=0.02
instrument bolt 1960, cosine similarity=0.06
instrument bolt 1970, cosine similarity=0.04
instrument bolt 1980, cosine similarity=0.08
instrument bolt 1990, cosine similarity=0.07

storm thunder 1900, cosine similarity=0.46
storm thunder 1910, cosine similarity=0.45
storm thunder 1920, cosine similarity=0.48
storm thunder 1930, cosine similarity=0.36
storm thunder 1940, cosine similarity=0.40
storm thunder 1950, cosine similarity=0.48
storm thunder 1960, cosine similarity=0.38
storm thunder 1970, cosine similarity=0.42
storm thunder 1980, cosine similarity=0.38
storm thunder 1990, cosine similarity=0.38

storm blizzard 1900, cosine similarity=0.00
storm blizzard 1910, cosine similarity=0.21
storm blizzard 1920, cosine similarity=0.25
storm blizzard 1930, cosine similarity=0.26
storm blizzard 1940, cosine similarity=0.22
storm blizzard 1950, cosine similarity=0.25
storm blizzard 1960, cosine similarity=0.27
storm blizzard 1970, cosine similarity=0.19
storm blizzard 1980, cosine similarity=0.25
storm blizzard 1990, cosine similarity=0.24

storm cannons 1900, cosine similarity=0.14
storm cannons 1910, cosine similarity=0.20
storm cannons 1920, cosine similarity=0.18
storm cannons 1930, cosine similarity=0.21
storm cannons 1940, cosine similarity=0.14
storm cannons 1950, cosine similarity=0.14
storm cannons 1960, cosine similarity=0.11
storm cannons 1970, cosine similarity=0.11
storm cannons 1980, cosine similarity=0.18
storm cannons 1990, cosine similarity=0.19

crime robbery 1900, cosine similarity=0.48
crime robbery 1910, cosine similarity=0.40
crime robbery 1920, cosine similarity=0.44
crime robbery 1930, cosine similarity=0.49
crime robbery 1940, cosine similarity=0.39
crime robbery 1950, cosine similarity=0.47
crime robbery 1960, cosine similarity=0.55
crime robbery 1970, cosine similarity=0.39
crime robbery 1980, cosine similarity=0.42
crime robbery 1990, cosine similarity=0.42

crime arson 1900, cosine similarity=0.38
crime arson 1910, cosine similarity=0.40
crime arson 1920, cosine similarity=0.40
crime arson 1930, cosine similarity=0.39
crime arson 1940, cosine similarity=0.37
crime arson 1950, cosine similarity=0.27
crime arson 1960, cosine similarity=0.38
crime arson 1970, cosine similarity=0.34
crime arson 1980, cosine similarity=0.29
crime arson 1990, cosine similarity=0.24

crime signal 1900, cosine similarity=0.02
crime signal 1910, cosine similarity=0.00
crime signal 1920, cosine similarity=0.02
crime signal 1930, cosine similarity=-0.02
crime signal 1940, cosine similarity=-0.05
crime signal 1950, cosine similarity=-0.05
crime signal 1960, cosine similarity=0.00
crime signal 1970, cosine similarity=0.02
crime signal 1980, cosine similarity=-0.12
crime signal 1990, cosine similarity=-0.12

clothing pants 1900, cosine similarity=0.15
clothing pants 1910, cosine similarity=0.21
clothing pants 1920, cosine similarity=0.15
clothing pants 1930, cosine similarity=0.13
clothing pants 1940, cosine similarity=0.16
clothing pants 1950, cosine similarity=0.18
clothing pants 1960, cosine similarity=0.21
clothing pants 1970, cosine similarity=0.21
clothing pants 1980, cosine similarity=0.16
clothing pants 1990, cosine similarity=0.16

clothing gloves 1900, cosine similarity=0.27
clothing gloves 1910, cosine similarity=0.31
clothing gloves 1920, cosine similarity=0.29
clothing gloves 1930, cosine similarity=0.27
clothing gloves 1940, cosine similarity=0.32
clothing gloves 1950, cosine similarity=0.29
clothing gloves 1960, cosine similarity=0.35
clothing gloves 1970, cosine similarity=0.32
clothing gloves 1980, cosine similarity=0.35
clothing gloves 1990, cosine similarity=0.40

clothing masks 1900, cosine similarity=0.13
clothing masks 1910, cosine similarity=0.14
clothing masks 1920, cosine similarity=0.14
clothing masks 1930, cosine similarity=0.24
clothing masks 1940, cosine similarity=0.20
clothing masks 1950, cosine similarity=0.24
clothing masks 1960, cosine similarity=0.25
clothing masks 1970, cosine similarity=0.23
clothing masks 1980, cosine similarity=0.20
clothing masks 1990, cosine similarity=0.23

flower rose 1900, cosine similarity=0.32
flower rose 1910, cosine similarity=0.26
flower rose 1920, cosine similarity=0.28
flower rose 1930, cosine similarity=0.30
flower rose 1940, cosine similarity=0.33
flower rose 1950, cosine similarity=0.28
flower rose 1960, cosine similarity=0.22
flower rose 1970, cosine similarity=0.24
flower rose 1980, cosine similarity=0.29
flower rose 1990, cosine similarity=0.28

flower lilac 1900, cosine similarity=0.31
flower lilac 1910, cosine similarity=0.28
flower lilac 1920, cosine similarity=0.31
flower lilac 1930, cosine similarity=0.31
flower lilac 1940, cosine similarity=0.42
flower lilac 1950, cosine similarity=0.41
flower lilac 1960, cosine similarity=0.28
flower lilac 1970, cosine similarity=0.37
flower lilac 1980, cosine similarity=0.33
flower lilac 1990, cosine similarity=0.33

flower slot 1900, cosine similarity=0.01
flower slot 1910, cosine similarity=-0.00
flower slot 1920, cosine similarity=0.06
flower slot 1930, cosine similarity=0.05
flower slot 1940, cosine similarity=0.06
flower slot 1950, cosine similarity=0.11
flower slot 1960, cosine similarity=0.11
flower slot 1970, cosine similarity=0.10
flower slot 1980, cosine similarity=0.14
flower slot 1990, cosine similarity=0.17

weapon gun 1900, cosine similarity=0.34
weapon gun 1910, cosine similarity=0.38
weapon gun 1920, cosine similarity=0.40
weapon gun 1930, cosine similarity=0.36
weapon gun 1940, cosine similarity=0.34
weapon gun 1950, cosine similarity=0.38
weapon gun 1960, cosine similarity=0.39
weapon gun 1970, cosine similarity=0.33
weapon gun 1980, cosine similarity=0.46
weapon gun 1990, cosine similarity=0.44

weapon club 1900, cosine similarity=0.21
weapon club 1910, cosine similarity=0.19
weapon club 1920, cosine similarity=0.19
weapon club 1930, cosine similarity=0.14
weapon club 1940, cosine similarity=0.13
weapon club 1950, cosine similarity=0.15
weapon club 1960, cosine similarity=0.15
weapon club 1970, cosine similarity=0.04
weapon club 1980, cosine similarity=0.12
weapon club 1990, cosine similarity=0.12

weapon babe 1900, cosine similarity=0.06
weapon babe 1910, cosine similarity=0.09
weapon babe 1920, cosine similarity=0.07
weapon babe 1930, cosine similarity=0.03
weapon babe 1940, cosine similarity=0.05
weapon babe 1950, cosine similarity=0.14
weapon babe 1960, cosine similarity=0.13
weapon babe 1970, cosine similarity=0.12
weapon babe 1980, cosine similarity=0.01
weapon babe 1990, cosine similarity=0.05

crime murder 1900, cosine similarity=0.52
crime murder 1910, cosine similarity=0.56
crime murder 1920, cosine similarity=0.48
crime murder 1930, cosine similarity=0.50
crime murder 1940, cosine similarity=0.42
crime murder 1950, cosine similarity=0.51
crime murder 1960, cosine similarity=0.49
crime murder 1970, cosine similarity=0.46
crime murder 1980, cosine similarity=0.40
crime murder 1990, cosine similarity=0.45

crime speeding 1900, cosine similarity=-0.07
crime speeding 1910, cosine similarity=-0.03
crime speeding 1920, cosine similarity=0.02
crime speeding 1930, cosine similarity=0.04
crime speeding 1940, cosine similarity=-0.11
crime speeding 1950, cosine similarity=-0.00
crime speeding 1960, cosine similarity=-0.02
crime speeding 1970, cosine similarity=0.02
crime speeding 1980, cosine similarity=0.09
crime speeding 1990, cosine similarity=0.09

crime dragons 1900, cosine similarity=-0.15
crime dragons 1910, cosine similarity=-0.04
crime dragons 1920, cosine similarity=-0.00
crime dragons 1930, cosine similarity=-0.03
crime dragons 1940, cosine similarity=-0.04
crime dragons 1950, cosine similarity=-0.05
crime dragons 1960, cosine similarity=-0.04
crime dragons 1970, cosine similarity=0.02
crime dragons 1980, cosine similarity=-0.00
crime dragons 1990, cosine similarity=0.04

in house 1900, cosine similarity=0.02
in house 1910, cosine similarity=0.00
in house 1920, cosine similarity=0.02
in house 1930, cosine similarity=0.11
in house 1940, cosine similarity=0.11
in house 1950, cosine similarity=0.04
in house 1960, cosine similarity=0.08
in house 1970, cosine similarity=-0.06
in house 1980, cosine similarity=0.10
in house 1990, cosine similarity=0.03

in cabin 1900, cosine similarity=0.01
in cabin 1910, cosine similarity=0.05
in cabin 1920, cosine similarity=0.00
in cabin 1930, cosine similarity=0.02
in cabin 1940, cosine similarity=-0.01
in cabin 1950, cosine similarity=0.05
in cabin 1960, cosine similarity=0.10
in cabin 1970, cosine similarity=-0.00
in cabin 1980, cosine similarity=0.07
in cabin 1990, cosine similarity=0.04

in jelly 1900, cosine similarity=0.06
in jelly 1910, cosine similarity=0.10
in jelly 1920, cosine similarity=0.05
in jelly 1930, cosine similarity=-0.04
in jelly 1940, cosine similarity=-0.06
in jelly 1950, cosine similarity=-0.06
in jelly 1960, cosine similarity=-0.03
in jelly 1970, cosine similarity=0.02
in jelly 1980, cosine similarity=0.05
in jelly 1990, cosine similarity=0.06

product milk 1900, cosine similarity=0.23
product milk 1910, cosine similarity=0.23
product milk 1920, cosine similarity=0.22
product milk 1930, cosine similarity=0.21
product milk 1940, cosine similarity=0.21
product milk 1950, cosine similarity=0.16
product milk 1960, cosine similarity=0.14
product milk 1970, cosine similarity=0.21
product milk 1980, cosine similarity=0.15
product milk 1990, cosine similarity=0.18

product cream 1900, cosine similarity=0.12
product cream 1910, cosine similarity=0.22
product cream 1920, cosine similarity=0.10
product cream 1930, cosine similarity=0.18
product cream 1940, cosine similarity=0.16
product cream 1950, cosine similarity=0.09
product cream 1960, cosine similarity=0.13
product cream 1970, cosine similarity=0.13
product cream 1980, cosine similarity=0.06
product cream 1990, cosine similarity=0.02

product gold 1900, cosine similarity=0.12
product gold 1910, cosine similarity=0.00
product gold 1920, cosine similarity=0.04
product gold 1930, cosine similarity=-0.01
product gold 1940, cosine similarity=0.02
product gold 1950, cosine similarity=0.00
product gold 1960, cosine similarity=0.03
product gold 1970, cosine similarity=-0.02
product gold 1980, cosine similarity=0.00
product gold 1990, cosine similarity=0.02

feeling sad 1900, cosine similarity=0.12
feeling sad 1910, cosine similarity=0.18
feeling sad 1920, cosine similarity=0.23
feeling sad 1930, cosine similarity=0.19
feeling sad 1940, cosine similarity=0.19
feeling sad 1950, cosine similarity=0.21
feeling sad 1960, cosine similarity=0.17
feeling sad 1970, cosine similarity=0.23
feeling sad 1980, cosine similarity=0.28
feeling sad 1990, cosine similarity=0.27

feeling envy 1900, cosine similarity=0.23
feeling envy 1910, cosine similarity=0.17
feeling envy 1920, cosine similarity=0.26
feeling envy 1930, cosine similarity=0.15
feeling envy 1940, cosine similarity=0.27
feeling envy 1950, cosine similarity=0.29
feeling envy 1960, cosine similarity=0.31
feeling envy 1970, cosine similarity=0.32
feeling envy 1980, cosine similarity=0.30
feeling envy 1990, cosine similarity=0.30

feeling well 1900, cosine similarity=0.10
feeling well 1910, cosine similarity=0.15
feeling well 1920, cosine similarity=0.08
feeling well 1930, cosine similarity=0.07
feeling well 1940, cosine similarity=0.16
feeling well 1950, cosine similarity=0.10
feeling well 1960, cosine similarity=0.15
feeling well 1970, cosine similarity=0.15
feeling well 1980, cosine similarity=0.12
feeling well 1990, cosine similarity=0.18

meat chicken 1900, cosine similarity=0.40
meat chicken 1910, cosine similarity=0.38
meat chicken 1920, cosine similarity=0.41
meat chicken 1930, cosine similarity=0.43
meat chicken 1940, cosine similarity=0.43
meat chicken 1950, cosine similarity=0.41
meat chicken 1960, cosine similarity=0.47
meat chicken 1970, cosine similarity=0.41
meat chicken 1980, cosine similarity=0.45
meat chicken 1990, cosine similarity=0.47

meat ham 1900, cosine similarity=0.34
meat ham 1910, cosine similarity=0.30
meat ham 1920, cosine similarity=0.34
meat ham 1930, cosine similarity=0.43
meat ham 1940, cosine similarity=0.39
meat ham 1950, cosine similarity=0.36
meat ham 1960, cosine similarity=0.33
meat ham 1970, cosine similarity=0.29
meat ham 1980, cosine similarity=0.35
meat ham 1990, cosine similarity=0.28

meat shrub 1900, cosine similarity=0.03
meat shrub 1910, cosine similarity=0.10
meat shrub 1920, cosine similarity=0.13
meat shrub 1930, cosine similarity=0.14
meat shrub 1940, cosine similarity=0.09
meat shrub 1950, cosine similarity=0.17
meat shrub 1960, cosine similarity=0.16
meat shrub 1970, cosine similarity=0.18
meat shrub 1980, cosine similarity=0.11
meat shrub 1990, cosine similarity=0.19

color blue 1900, cosine similarity=0.43
color blue 1910, cosine similarity=0.43
color blue 1920, cosine similarity=0.43
color blue 1930, cosine similarity=0.38
color blue 1940, cosine similarity=0.42
color blue 1950, cosine similarity=0.41
color blue 1960, cosine similarity=0.38
color blue 1970, cosine similarity=0.32
color blue 1980, cosine similarity=0.31
color blue 1990, cosine similarity=0.33

color tan 1900, cosine similarity=0.24
color tan 1910, cosine similarity=0.28
color tan 1920, cosine similarity=0.24
color tan 1930, cosine similarity=0.22
color tan 1940, cosine similarity=0.35
color tan 1950, cosine similarity=0.32
color tan 1960, cosine similarity=0.21
color tan 1970, cosine similarity=0.21
color tan 1980, cosine similarity=0.28
color tan 1990, cosine similarity=0.20

color zone 1900, cosine similarity=0.16
color zone 1910, cosine similarity=0.10
color zone 1920, cosine similarity=0.10
color zone 1930, cosine similarity=0.07
color zone 1940, cosine similarity=0.07
color zone 1950, cosine similarity=0.11
color zone 1960, cosine similarity=0.04
color zone 1970, cosine similarity=-0.02
color zone 1980, cosine similarity=0.08
color zone 1990, cosine similarity=0.09

read book 1900, cosine similarity=0.32
read book 1910, cosine similarity=0.36
read book 1920, cosine similarity=0.27
read book 1930, cosine similarity=0.29
read book 1940, cosine similarity=0.34
read book 1950, cosine similarity=0.32
read book 1960, cosine similarity=0.32
read book 1970, cosine similarity=0.31
read book 1980, cosine similarity=0.32
read book 1990, cosine similarity=0.32

read article 1900, cosine similarity=0.20
read article 1910, cosine similarity=0.25
read article 1920, cosine similarity=0.14
read article 1930, cosine similarity=0.12
read article 1940, cosine similarity=0.17
read article 1950, cosine similarity=0.24
read article 1960, cosine similarity=0.20
read article 1970, cosine similarity=0.17
read article 1980, cosine similarity=0.25
read article 1990, cosine similarity=0.15

read warts 1900, cosine similarity=-0.16
read warts 1910, cosine similarity=-0.16
read warts 1920, cosine similarity=0.00
read warts 1930, cosine similarity=0.00
read warts 1940, cosine similarity=0.00
read warts 1950, cosine similarity=-0.14
read warts 1960, cosine similarity=-0.19
read warts 1970, cosine similarity=-0.09
read warts 1980, cosine similarity=-0.11
read warts 1990, cosine similarity=-0.05

seasoning salt 1900, cosine similarity=0.29
seasoning salt 1910, cosine similarity=0.26
seasoning salt 1920, cosine similarity=0.35
seasoning salt 1930, cosine similarity=0.26
seasoning salt 1940, cosine similarity=0.00
seasoning salt 1950, cosine similarity=0.36
seasoning salt 1960, cosine similarity=0.30
seasoning salt 1970, cosine similarity=0.30
seasoning salt 1980, cosine similarity=0.33
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1900, cosine similarity=0.27
seasoning herbs 1910, cosine similarity=0.25
seasoning herbs 1920, cosine similarity=0.28
seasoning herbs 1930, cosine similarity=0.21
seasoning herbs 1940, cosine similarity=0.00
seasoning herbs 1950, cosine similarity=0.31
seasoning herbs 1960, cosine similarity=0.23
seasoning herbs 1970, cosine similarity=0.25
seasoning herbs 1980, cosine similarity=0.30
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1900, cosine similarity=0.01
seasoning risk 1910, cosine similarity=-0.05
seasoning risk 1920, cosine similarity=-0.06
seasoning risk 1930, cosine similarity=-0.09
seasoning risk 1940, cosine similarity=0.00
seasoning risk 1950, cosine similarity=-0.02
seasoning risk 1960, cosine similarity=-0.08
seasoning risk 1970, cosine similarity=-0.03
seasoning risk 1980, cosine similarity=-0.07
seasoning risk 1990, cosine similarity=-0.06

furniture table 1900, cosine similarity=0.17
furniture table 1910, cosine similarity=0.18
furniture table 1920, cosine similarity=0.08
furniture table 1930, cosine similarity=0.07
furniture table 1940, cosine similarity=0.13
furniture table 1950, cosine similarity=0.12
furniture table 1960, cosine similarity=0.13
furniture table 1970, cosine similarity=0.11
furniture table 1980, cosine similarity=0.12
furniture table 1990, cosine similarity=0.10

furniture shelf 1900, cosine similarity=0.21
furniture shelf 1910, cosine similarity=0.25
furniture shelf 1920, cosine similarity=0.16
furniture shelf 1930, cosine similarity=0.18
furniture shelf 1940, cosine similarity=0.18
furniture shelf 1950, cosine similarity=0.18
furniture shelf 1960, cosine similarity=0.15
furniture shelf 1970, cosine similarity=0.15
furniture shelf 1980, cosine similarity=0.17
furniture shelf 1990, cosine similarity=0.18

furniture elbow 1900, cosine similarity=0.07
furniture elbow 1910, cosine similarity=0.03
furniture elbow 1920, cosine similarity=-0.00
furniture elbow 1930, cosine similarity=-0.01
furniture elbow 1940, cosine similarity=-0.00
furniture elbow 1950, cosine similarity=-0.01
furniture elbow 1960, cosine similarity=0.13
furniture elbow 1970, cosine similarity=0.01
furniture elbow 1980, cosine similarity=0.01
furniture elbow 1990, cosine similarity=-0.07

seasoning pepper 1900, cosine similarity=0.37
seasoning pepper 1910, cosine similarity=0.40
seasoning pepper 1920, cosine similarity=0.37
seasoning pepper 1930, cosine similarity=0.36
seasoning pepper 1940, cosine similarity=0.00
seasoning pepper 1950, cosine similarity=0.41
seasoning pepper 1960, cosine similarity=0.43
seasoning pepper 1970, cosine similarity=0.39
seasoning pepper 1980, cosine similarity=0.42
seasoning pepper 1990, cosine similarity=0.44

seasoning ketchup 1900, cosine similarity=0.00
seasoning ketchup 1910, cosine similarity=0.00
seasoning ketchup 1920, cosine similarity=0.00
seasoning ketchup 1930, cosine similarity=0.00
seasoning ketchup 1940, cosine similarity=0.00
seasoning ketchup 1950, cosine similarity=0.00
seasoning ketchup 1960, cosine similarity=0.00
seasoning ketchup 1970, cosine similarity=0.00
seasoning ketchup 1980, cosine similarity=0.41
seasoning ketchup 1990, cosine similarity=0.26

seasoning peanut 1900, cosine similarity=0.00
seasoning peanut 1910, cosine similarity=0.18
seasoning peanut 1920, cosine similarity=0.25
seasoning peanut 1930, cosine similarity=0.28
seasoning peanut 1940, cosine similarity=0.00
seasoning peanut 1950, cosine similarity=0.36
seasoning peanut 1960, cosine similarity=0.37
seasoning peanut 1970, cosine similarity=0.29
seasoning peanut 1980, cosine similarity=0.36
seasoning peanut 1990, cosine similarity=0.30

furniture chair 1900, cosine similarity=0.12
furniture chair 1910, cosine similarity=0.07
furniture chair 1920, cosine similarity=0.09
furniture chair 1930, cosine similarity=0.12
furniture chair 1940, cosine similarity=0.12
furniture chair 1950, cosine similarity=0.11
furniture chair 1960, cosine similarity=0.17
furniture chair 1970, cosine similarity=0.15
furniture chair 1980, cosine similarity=0.16
furniture chair 1990, cosine similarity=0.15

furniture stool 1900, cosine similarity=0.16
furniture stool 1910, cosine similarity=0.14
furniture stool 1920, cosine similarity=0.08
furniture stool 1930, cosine similarity=0.12
furniture stool 1940, cosine similarity=0.05
furniture stool 1950, cosine similarity=0.03
furniture stool 1960, cosine similarity=0.02
furniture stool 1970, cosine similarity=0.09
furniture stool 1980, cosine similarity=0.08
furniture stool 1990, cosine similarity=0.05

furniture witch 1900, cosine similarity=-0.07
furniture witch 1910, cosine similarity=-0.00
furniture witch 1920, cosine similarity=-0.01
furniture witch 1930, cosine similarity=-0.04
furniture witch 1940, cosine similarity=-0.03
furniture witch 1950, cosine similarity=-0.04
furniture witch 1960, cosine similarity=-0.03
furniture witch 1970, cosine similarity=-0.04
furniture witch 1980, cosine similarity=-0.01
furniture witch 1990, cosine similarity=0.04

fruit banana 1900, cosine similarity=0.38
fruit banana 1910, cosine similarity=0.34
fruit banana 1920, cosine similarity=0.35
fruit banana 1930, cosine similarity=0.37
fruit banana 1940, cosine similarity=0.36
fruit banana 1950, cosine similarity=0.31
fruit banana 1960, cosine similarity=0.40
fruit banana 1970, cosine similarity=0.39
fruit banana 1980, cosine similarity=0.33
fruit banana 1990, cosine similarity=0.35

fruit melon 1900, cosine similarity=0.29
fruit melon 1910, cosine similarity=0.23
fruit melon 1920, cosine similarity=0.30
fruit melon 1930, cosine similarity=0.19
fruit melon 1940, cosine similarity=0.00
fruit melon 1950, cosine similarity=0.33
fruit melon 1960, cosine similarity=0.21
fruit melon 1970, cosine similarity=0.26
fruit melon 1980, cosine similarity=0.24
fruit melon 1990, cosine similarity=0.23

fruit wagon 1900, cosine similarity=0.05
fruit wagon 1910, cosine similarity=0.04
fruit wagon 1920, cosine similarity=0.05
fruit wagon 1930, cosine similarity=0.11
fruit wagon 1940, cosine similarity=0.10
fruit wagon 1950, cosine similarity=0.11
fruit wagon 1960, cosine similarity=0.13
fruit wagon 1970, cosine similarity=0.03
fruit wagon 1980, cosine similarity=0.13
fruit wagon 1990, cosine similarity=0.06

clothing shirt 1900, cosine similarity=0.31
clothing shirt 1910, cosine similarity=0.35
clothing shirt 1920, cosine similarity=0.30
clothing shirt 1930, cosine similarity=0.28
clothing shirt 1940, cosine similarity=0.27
clothing shirt 1950, cosine similarity=0.29
clothing shirt 1960, cosine similarity=0.30
clothing shirt 1970, cosine similarity=0.26
clothing shirt 1980, cosine similarity=0.22
clothing shirt 1990, cosine similarity=0.23

clothing coat 1900, cosine similarity=0.25
clothing coat 1910, cosine similarity=0.28
clothing coat 1920, cosine similarity=0.27
clothing coat 1930, cosine similarity=0.25
clothing coat 1940, cosine similarity=0.20
clothing coat 1950, cosine similarity=0.25
clothing coat 1960, cosine similarity=0.25
clothing coat 1970, cosine similarity=0.27
clothing coat 1980, cosine similarity=0.21
clothing coat 1990, cosine similarity=0.26

clothing fish 1900, cosine similarity=0.18
clothing fish 1910, cosine similarity=0.13
clothing fish 1920, cosine similarity=0.12
clothing fish 1930, cosine similarity=0.09
clothing fish 1940, cosine similarity=0.09
clothing fish 1950, cosine similarity=0.09
clothing fish 1960, cosine similarity=0.12
clothing fish 1970, cosine similarity=0.14
clothing fish 1980, cosine similarity=0.05
clothing fish 1990, cosine similarity=0.13

rodent rat 1900, cosine similarity=0.00
rodent rat 1910, cosine similarity=0.00
rodent rat 1920, cosine similarity=0.00
rodent rat 1930, cosine similarity=0.00
rodent rat 1940, cosine similarity=0.00
rodent rat 1950, cosine similarity=0.00
rodent rat 1960, cosine similarity=0.35
rodent rat 1970, cosine similarity=0.34
rodent rat 1980, cosine similarity=0.33
rodent rat 1990, cosine similarity=0.28

rodent gopher 1900, cosine similarity=0.00
rodent gopher 1910, cosine similarity=0.00
rodent gopher 1920, cosine similarity=0.00
