weather tornado 1950, cosine similarity=-0.00
relative slice 1990, cosine similarity=0.02

animal cow 1950, cosine similarity=0.42
animal cow 1960, cosine similarity=0.37
animal cow 1970, cosine similarity=0.34
animal cow 1980, cosine similarity=0.34
animal cow 1990, cosine similarity=0.36

animal ox 1950, cosine similarity=0.27
animal ox 1960, cosine similarity=0.27
animal ox 1970, cosine similarity=0.29
animal ox 1980, cosine similarity=0.24
animal ox 1990, cosine similarity=0.28

animal ivy 1950, cosine similarity=0.08
animal ivy 1960, cosine similarity=0.07
animal ivy 1970, cosine similarity=0.06
animal ivy 1980, cosine similarity=0.01
animal ivy 1990, cosine similarity=0.07

body leg 1950, cosine similarity=0.21
body leg 1960, cosine similarity=0.29
body leg 1970, cosine similarity=0.27
body leg 1980, cosine similarity=0.25
body leg 1990, cosine similarity=0.25

body chest 1950, cosine similarity=0.21
body chest 1960, cosine similarity=0.28
body chest 1970, cosine similarity=0.21
body chest 1980, cosine similarity=0.32
body chest 1990, cosine similarity=0.17

body gyms 1950, cosine similarity=0.00
body gyms 1960, cosine similarity=0.00
body gyms 1970, cosine similarity=0.00
body gyms 1980, cosine similarity=0.00
body gyms 1990, cosine similarity=0.00

color red 1950, cosine similarity=0.33
color red 1960, cosine similarity=0.30
color red 1970, cosine similarity=0.27
color red 1980, cosine similarity=0.30
color red 1990, cosine similarity=0.30

color brown 1950, cosine similarity=0.38
color brown 1960, cosine similarity=0.33
color brown 1970, cosine similarity=0.29
color brown 1980, cosine similarity=0.30
color brown 1990, cosine similarity=0.26

color nest 1950, cosine similarity=0.03
color nest 1960, cosine similarity=0.00
color nest 1970, cosine similarity=-0.06
color nest 1980, cosine similarity=0.05
color nest 1990, cosine similarity=0.05

in apartment 1950, cosine similarity=0.11
in apartment 1960, cosine similarity=0.10
in apartment 1970, cosine similarity=0.06
in apartment 1980, cosine similarity=0.10
in apartment 1990, cosine similarity=0.02

in tent 1950, cosine similarity=0.03
in tent 1960, cosine similarity=0.10
in tent 1970, cosine similarity=0.11
in tent 1980, cosine similarity=0.10
in tent 1990, cosine similarity=0.04

in domino 1950, cosine similarity=0.00
in domino 1960, cosine similarity=0.04
in domino 1970, cosine similarity=0.03
in domino 1980, cosine similarity=-0.02
in domino 1990, cosine similarity=-0.06

fabric cotton 1950, cosine similarity=0.22
fabric cotton 1960, cosine similarity=0.22
fabric cotton 1970, cosine similarity=0.22
fabric cotton 1980, cosine similarity=0.28
fabric cotton 1990, cosine similarity=0.24

fabric lace 1950, cosine similarity=0.23
fabric lace 1960, cosine similarity=0.17
fabric lace 1970, cosine similarity=0.27
fabric lace 1980, cosine similarity=0.29
fabric lace 1990, cosine similarity=0.27

fabric payday 1950, cosine similarity=0.00
fabric payday 1960, cosine similarity=0.00
fabric payday 1970, cosine similarity=0.00
fabric payday 1980, cosine similarity=0.00
fabric payday 1990, cosine similarity=0.00

shape triangle 1950, cosine similarity=0.24
shape triangle 1960, cosine similarity=0.25
shape triangle 1970, cosine similarity=0.24
shape triangle 1980, cosine similarity=0.25
shape triangle 1990, cosine similarity=0.19

shape cone 1950, cosine similarity=0.31
shape cone 1960, cosine similarity=0.33
shape cone 1970, cosine similarity=0.30
shape cone 1980, cosine similarity=0.28
shape cone 1990, cosine similarity=0.27

shape tailor 1950, cosine similarity=0.08
shape tailor 1960, cosine similarity=0.02
shape tailor 1970, cosine similarity=0.08
shape tailor 1980, cosine similarity=0.07
shape tailor 1990, cosine similarity=0.07

animal cat 1950, cosine similarity=0.26
animal cat 1960, cosine similarity=0.33
animal cat 1970, cosine similarity=0.26
animal cat 1980, cosine similarity=0.24
animal cat 1990, cosine similarity=0.28

animal pig 1950, cosine similarity=0.33
animal pig 1960, cosine similarity=0.31
animal pig 1970, cosine similarity=0.31
animal pig 1980, cosine similarity=0.22
animal pig 1990, cosine similarity=0.30

animal bus 1950, cosine similarity=-0.08
animal bus 1960, cosine similarity=-0.12
animal bus 1970, cosine similarity=-0.13
animal bus 1980, cosine similarity=-0.11
animal bus 1990, cosine similarity=-0.01

rodent mouse 1950, cosine similarity=0.00
rodent mouse 1960, cosine similarity=0.41
rodent mouse 1970, cosine similarity=0.30
rodent mouse 1980, cosine similarity=0.30
rodent mouse 1990, cosine similarity=0.24

rodent shrew 1950, cosine similarity=0.00
rodent shrew 1960, cosine similarity=0.03
rodent shrew 1970, cosine similarity=0.26
rodent shrew 1980, cosine similarity=0.11
rodent shrew 1990, cosine similarity=0.09

rodent fudge 1950, cosine similarity=0.00
rodent fudge 1960, cosine similarity=0.00
rodent fudge 1970, cosine similarity=0.00
rodent fudge 1980, cosine similarity=0.07
rodent fudge 1990, cosine similarity=0.08

tree branch 1950, cosine similarity=0.34
tree branch 1960, cosine similarity=0.31
tree branch 1970, cosine similarity=0.37
tree branch 1980, cosine similarity=0.38
tree branch 1990, cosine similarity=0.32

tree twig 1950, cosine similarity=0.44
tree twig 1960, cosine similarity=0.43
tree twig 1970, cosine similarity=0.28
tree twig 1980, cosine similarity=0.36
tree twig 1990, cosine similarity=0.36

tree plaza 1950, cosine similarity=0.22
tree plaza 1960, cosine similarity=0.15
tree plaza 1970, cosine similarity=0.13
tree plaza 1980, cosine similarity=0.08
tree plaza 1990, cosine similarity=0.07

green grass 1950, cosine similarity=0.40
green grass 1960, cosine similarity=0.44
green grass 1970, cosine similarity=0.37
green grass 1980, cosine similarity=0.37
green grass 1990, cosine similarity=0.35

green frogs 1950, cosine similarity=0.19
green frogs 1960, cosine similarity=0.12
green frogs 1970, cosine similarity=0.13
green frogs 1980, cosine similarity=0.16
green frogs 1990, cosine similarity=0.07

green giant 1950, cosine similarity=0.18
green giant 1960, cosine similarity=0.08
green giant 1970, cosine similarity=0.09
green giant 1980, cosine similarity=0.15
green giant 1990, cosine similarity=0.14

 fork 1950, cosine similarity=0.00
 fork 1960, cosine similarity=0.00
 fork 1970, cosine similarity=0.00
 fork 1980, cosine similarity=0.00
 fork 1990, cosine similarity=0.00

 mixer 1950, cosine similarity=0.00
 mixer 1960, cosine similarity=0.00
 mixer 1970, cosine similarity=0.00
 mixer 1980, cosine similarity=0.00
 mixer 1990, cosine similarity=0.00

 text 1950, cosine similarity=0.00
 text 1960, cosine similarity=0.00
 text 1970, cosine similarity=0.00
 text 1980, cosine similarity=0.00
 text 1990, cosine similarity=0.00

metal steel 1950, cosine similarity=0.49
metal steel 1960, cosine similarity=0.52
metal steel 1970, cosine similarity=0.48
metal steel 1980, cosine similarity=0.46
metal steel 1990, cosine similarity=0.52

metal tin 1950, cosine similarity=0.41
metal tin 1960, cosine similarity=0.41
metal tin 1970, cosine similarity=0.37
metal tin 1980, cosine similarity=0.37
metal tin 1990, cosine similarity=0.42

metal halo 1950, cosine similarity=0.04
metal halo 1960, cosine similarity=0.04
metal halo 1970, cosine similarity=0.06
metal halo 1980, cosine similarity=0.08
metal halo 1990, cosine similarity=0.16

animal dog 1950, cosine similarity=0.34
animal dog 1960, cosine similarity=0.39
animal dog 1970, cosine similarity=0.37
animal dog 1980, cosine similarity=0.33
animal dog 1990, cosine similarity=0.37

animal mouse 1950, cosine similarity=0.29
animal mouse 1960, cosine similarity=0.27
animal mouse 1970, cosine similarity=0.30
animal mouse 1980, cosine similarity=0.24
animal mouse 1990, cosine similarity=0.15

animal pink 1950, cosine similarity=0.03
animal pink 1960, cosine similarity=0.02
animal pink 1970, cosine similarity=0.04
animal pink 1980, cosine similarity=0.08
animal pink 1990, cosine similarity=0.09

bicycle wheel 1950, cosine similarity=0.42
bicycle wheel 1960, cosine similarity=0.35
bicycle wheel 1970, cosine similarity=0.38
bicycle wheel 1980, cosine similarity=0.32
bicycle wheel 1990, cosine similarity=0.34

bicycle lock 1950, cosine similarity=0.17
bicycle lock 1960, cosine similarity=0.22
bicycle lock 1970, cosine similarity=0.21
bicycle lock 1980, cosine similarity=0.18
bicycle lock 1990, cosine similarity=0.11

bicycle store 1950, cosine similarity=0.21
bicycle store 1960, cosine similarity=0.14
bicycle store 1970, cosine similarity=0.16
bicycle store 1980, cosine similarity=0.07
bicycle store 1990, cosine similarity=0.10

wood oak 1950, cosine similarity=0.30
wood oak 1960, cosine similarity=0.34
wood oak 1970, cosine similarity=0.31
wood oak 1980, cosine similarity=0.30
wood oak 1990, cosine similarity=0.29

wood elm 1950, cosine similarity=0.26
wood elm 1960, cosine similarity=0.24
wood elm 1970, cosine similarity=0.25
wood elm 1980, cosine similarity=0.17
wood elm 1990, cosine similarity=0.13

wood key 1950, cosine similarity=0.02
wood key 1960, cosine similarity=0.02
wood key 1970, cosine similarity=0.01
wood key 1980, cosine similarity=-0.09
wood key 1990, cosine similarity=-0.03

season fall 1950, cosine similarity=0.18
season fall 1960, cosine similarity=0.14
season fall 1970, cosine similarity=0.19
season fall 1980, cosine similarity=0.14
season fall 1990, cosine similarity=0.18

season hunting 1950, cosine similarity=0.26
season hunting 1960, cosine similarity=0.26
season hunting 1970, cosine similarity=0.23
season hunting 1980, cosine similarity=0.27
season hunting 1990, cosine similarity=0.21

season force 1950, cosine similarity=-0.03
season force 1960, cosine similarity=-0.03
season force 1970, cosine similarity=-0.01
season force 1980, cosine similarity=-0.01
season force 1990, cosine similarity=-0.03

music rap 1950, cosine similarity=0.01
music rap 1960, cosine similarity=0.08
music rap 1970, cosine similarity=0.11
music rap 1980, cosine similarity=0.03
music rap 1990, cosine similarity=0.27

music gospel 1950, cosine similarity=0.10
music gospel 1960, cosine similarity=0.08
music gospel 1970, cosine similarity=0.19
music gospel 1980, cosine similarity=0.19
music gospel 1990, cosine similarity=0.15

music riot 1950, cosine similarity=0.09
music riot 1960, cosine similarity=0.05
music riot 1970, cosine similarity=0.03
music riot 1980, cosine similarity=0.07
music riot 1990, cosine similarity=0.17

instrument flute 1950, cosine similarity=0.24
instrument flute 1960, cosine similarity=0.24
instrument flute 1970, cosine similarity=0.29
