dad mom 1930, cosine similarity=0.00
daily paper 1960, cosine similarity=0.10
daily paper 1970, cosine similarity=0.11
daily paper 1980, cosine similarity=0.12

daily today 1930, cosine similarity=0.12
daily today 1940, cosine similarity=0.08
daily today 1950, cosine similarity=0.10
daily today 1960, cosine similarity=0.07
daily today 1970, cosine similarity=0.14
daily today 1980, cosine similarity=0.16

daily monthly 1930, cosine similarity=0.32
daily monthly 1940, cosine similarity=0.34
daily monthly 1950, cosine similarity=0.35
daily monthly 1960, cosine similarity=0.36
daily monthly 1970, cosine similarity=0.31
daily monthly 1980, cosine similarity=0.31

daily bread 1930, cosine similarity=0.26
daily bread 1940, cosine similarity=0.28
daily bread 1950, cosine similarity=0.27
daily bread 1960, cosine similarity=0.27
daily bread 1970, cosine similarity=0.28
daily bread 1980, cosine similarity=0.19

daily day 1930, cosine similarity=0.29
daily day 1940, cosine similarity=0.31
daily day 1950, cosine similarity=0.32
daily day 1960, cosine similarity=0.34
daily day 1970, cosine similarity=0.30
daily day 1980, cosine similarity=0.36

daily nightly 1930, cosine similarity=0.25
daily nightly 1940, cosine similarity=0.21
daily nightly 1950, cosine similarity=0.24
daily nightly 1960, cosine similarity=0.29
daily nightly 1970, cosine similarity=0.26
daily nightly 1980, cosine similarity=0.22

daily often 1930, cosine similarity=0.04
daily often 1940, cosine similarity=0.07
daily often 1950, cosine similarity=0.03
daily often 1960, cosine similarity=-0.01
daily often 1970, cosine similarity=0.03
daily often 1980, cosine similarity=0.07

daily regular 1930, cosine similarity=0.26
daily regular 1940, cosine similarity=0.27
daily regular 1950, cosine similarity=0.23
daily regular 1960, cosine similarity=0.22
daily regular 1970, cosine similarity=0.28
daily regular 1980, cosine similarity=0.27

daily regularly 1930, cosine similarity=0.26
daily regularly 1940, cosine similarity=0.28
daily regularly 1950, cosine similarity=0.22
daily regularly 1960, cosine similarity=0.25
daily regularly 1970, cosine similarity=0.32
daily regularly 1980, cosine similarity=0.30

daily log 1930, cosine similarity=-0.04
daily log 1940, cosine similarity=0.03
daily log 1950, cosine similarity=0.09
daily log 1960, cosine similarity=0.11
daily log 1970, cosine similarity=0.09
daily log 1980, cosine similarity=0.15

daily ritual 1930, cosine similarity=0.18
daily ritual 1940, cosine similarity=0.14
daily ritual 1950, cosine similarity=0.10
daily ritual 1960, cosine similarity=0.21
daily ritual 1970, cosine similarity=0.20
daily ritual 1980, cosine similarity=0.16

daily schedule 1930, cosine similarity=0.18
daily schedule 1940, cosine similarity=0.15
daily schedule 1950, cosine similarity=0.13
daily schedule 1960, cosine similarity=0.12
daily schedule 1970, cosine similarity=0.18
daily schedule 1980, cosine similarity=0.13

dairy milk 1930, cosine similarity=0.48
dairy milk 1940, cosine similarity=0.47
dairy milk 1950, cosine similarity=0.51
dairy milk 1960, cosine similarity=0.47
dairy milk 1970, cosine similarity=0.48
dairy milk 1980, cosine similarity=0.57

dairy cow 1930, cosine similarity=0.34
dairy cow 1940, cosine similarity=0.36
dairy cow 1950, cosine similarity=0.35
dairy cow 1960, cosine similarity=0.28
dairy cow 1970, cosine similarity=0.26
dairy cow 1980, cosine similarity=0.41

dairy farm 1930, cosine similarity=0.44
dairy farm 1940, cosine similarity=0.41
dairy farm 1950, cosine similarity=0.40
dairy farm 1960, cosine similarity=0.40
dairy farm 1970, cosine similarity=0.39
dairy farm 1980, cosine similarity=0.40

dairy secret 1930, cosine similarity=-0.07
dairy secret 1940, cosine similarity=-0.12
dairy secret 1950, cosine similarity=-0.04
dairy secret 1960, cosine similarity=-0.07
dairy secret 1970, cosine similarity=-0.09
dairy secret 1980, cosine similarity=-0.08

dairy cheese 1930, cosine similarity=0.45
dairy cheese 1940, cosine similarity=0.42
dairy cheese 1950, cosine similarity=0.47
dairy cheese 1960, cosine similarity=0.40
dairy cheese 1970, cosine similarity=0.42
dairy cheese 1980, cosine similarity=0.46

dairy private 1930, cosine similarity=-0.05
dairy private 1940, cosine similarity=0.02
dairy private 1950, cosine similarity=0.04
dairy private 1960, cosine similarity=0.03
dairy private 1970, cosine similarity=0.10
dairy private 1980, cosine similarity=0.01

dairy product 1930, cosine similarity=0.18
dairy product 1940, cosine similarity=0.15
dairy product 1950, cosine similarity=0.16
dairy product 1960, cosine similarity=0.21
dairy product 1970, cosine similarity=0.21
dairy product 1980, cosine similarity=0.16

dairy journal 1930, cosine similarity=0.23
dairy journal 1940, cosine similarity=0.18
dairy journal 1950, cosine similarity=0.14
dairy journal 1960, cosine similarity=0.15
dairy journal 1970, cosine similarity=0.14
dairy journal 1980, cosine similarity=0.16

dairy anne frank 1930, cosine similarity=0.00
dairy anne frank 1940, cosine similarity=0.00
dairy anne frank 1950, cosine similarity=0.00
dairy anne frank 1960, cosine similarity=0.00
dairy anne frank 1970, cosine similarity=0.00
dairy anne frank 1980, cosine similarity=0.00

dairy queen 1930, cosine similarity=0.00
dairy queen 1940, cosine similarity=0.06
dairy queen 1950, cosine similarity=0.02
dairy queen 1960, cosine similarity=0.08
dairy queen 1970, cosine similarity=0.10
dairy queen 1980, cosine similarity=0.16

dairy book 1930, cosine similarity=-0.02
dairy book 1940, cosine similarity=0.03
dairy book 1950, cosine similarity=0.04
dairy book 1960, cosine similarity=0.05
dairy book 1970, cosine similarity=0.05
dairy book 1980, cosine similarity=-0.00

dairy food 1930, cosine similarity=0.32
dairy food 1940, cosine similarity=0.34
dairy food 1950, cosine similarity=0.36
dairy food 1960, cosine similarity=0.35
dairy food 1970, cosine similarity=0.31
dairy food 1980, cosine similarity=0.36

dairy ice cream 1930, cosine similarity=0.00
dairy ice cream 1940, cosine similarity=0.00
dairy ice cream 1950, cosine similarity=0.00
dairy ice cream 1960, cosine similarity=0.00
dairy ice cream 1970, cosine similarity=0.00
dairy ice cream 1980, cosine similarity=0.00

daisy flower 1930, cosine similarity=0.27
daisy flower 1940, cosine similarity=0.20
daisy flower 1950, cosine similarity=0.27
daisy flower 1960, cosine similarity=0.21
daisy flower 1970, cosine similarity=0.26
daisy flower 1980, cosine similarity=0.20

daisy yellow 1930, cosine similarity=0.25
daisy yellow 1940, cosine similarity=0.18
daisy yellow 1950, cosine similarity=0.20
daisy yellow 1960, cosine similarity=0.12
daisy yellow 1970, cosine similarity=0.18
daisy yellow 1980, cosine similarity=0.28

daisy rose 1930, cosine similarity=0.22
daisy rose 1940, cosine similarity=0.27
daisy rose 1950, cosine similarity=0.25
daisy rose 1960, cosine similarity=0.18
daisy rose 1970, cosine similarity=0.17
daisy rose 1980, cosine similarity=0.14

daisy petals 1930, cosine similarity=0.29
daisy petals 1940, cosine similarity=0.25
daisy petals 1950, cosine similarity=0.34
daisy petals 1960, cosine similarity=0.27
daisy petals 1970, cosine similarity=0.29
daisy petals 1980, cosine similarity=0.31

daisy dog 1930, cosine similarity=0.24
daisy dog 1940, cosine similarity=0.17
daisy dog 1950, cosine similarity=0.17
daisy dog 1960, cosine similarity=0.07
daisy dog 1970, cosine similarity=0.14
daisy dog 1980, cosine similarity=0.14

daisy girl 1930, cosine similarity=0.20
daisy girl 1940, cosine similarity=0.19
daisy girl 1950, cosine similarity=0.15
daisy girl 1960, cosine similarity=0.17
daisy girl 1970, cosine similarity=0.14
daisy girl 1980, cosine similarity=0.15

daisy gun 1930, cosine similarity=0.05
daisy gun 1940, cosine similarity=0.09
daisy gun 1950, cosine similarity=0.15
daisy gun 1960, cosine similarity=0.13
daisy gun 1970, cosine similarity=0.11
daisy gun 1980, cosine similarity=0.08

daisy tulip 1930, cosine similarity=0.16
daisy tulip 1940, cosine similarity=0.21
daisy tulip 1950, cosine similarity=0.22
daisy tulip 1960, cosine similarity=0.29
daisy tulip 1970, cosine similarity=0.38
daisy tulip 1980, cosine similarity=0.20

dam water 1930, cosine similarity=0.25
dam water 1940, cosine similarity=0.23
dam water 1950, cosine similarity=0.31
dam water 1960, cosine similarity=0.22
dam water 1970, cosine similarity=0.25
dam water 1980, cosine similarity=0.19

dam beaver 1930, cosine similarity=0.25
dam beaver 1940, cosine similarity=0.26
dam beaver 1950, cosine similarity=0.29
dam beaver 1960, cosine similarity=0.25
dam beaver 1970, cosine similarity=0.26
dam beaver 1980, cosine similarity=0.28

dam river 1930, cosine similarity=0.35
dam river 1940, cosine similarity=0.39
dam river 1950, cosine similarity=0.45
dam river 1960, cosine similarity=0.38
dam river 1970, cosine similarity=0.45
dam river 1980, cosine similarity=0.40

dam hoover 1930, cosine similarity=0.23
dam hoover 1940, cosine similarity=0.26
dam hoover 1950, cosine similarity=0.28
dam hoover 1960, cosine similarity=0.27
dam hoover 1970, cosine similarity=0.23
dam hoover 1980, cosine similarity=0.26

dam block 1930, cosine similarity=0.27
dam block 1940, cosine similarity=0.23
dam block 1950, cosine similarity=0.21
dam block 1960, cosine similarity=0.21
dam block 1970, cosine similarity=0.17
dam block 1980, cosine similarity=0.07

dam bridge 1930, cosine similarity=0.39
dam bridge 1940, cosine similarity=0.35
dam bridge 1950, cosine similarity=0.35
dam bridge 1960, cosine similarity=0.40
dam bridge 1970, cosine similarity=0.41
dam bridge 1980, cosine similarity=0.34

dam dike 1930, cosine similarity=0.26
dam dike 1940, cosine similarity=0.21
dam dike 1950, cosine similarity=0.21
dam dike 1960, cosine similarity=0.19
dam dike 1970, cosine similarity=0.19
dam dike 1980, cosine similarity=0.18

dam mother 1930, cosine similarity=0.01
dam mother 1940, cosine similarity=-0.04
dam mother 1950, cosine similarity=0.01
dam mother 1960, cosine similarity=-0.03
dam mother 1970, cosine similarity=-0.10
dam mother 1980, cosine similarity=0.02

dam mud 1930, cosine similarity=0.21
dam mud 1940, cosine similarity=0.17
dam mud 1950, cosine similarity=0.25
dam mud 1960, cosine similarity=0.20
dam mud 1970, cosine similarity=0.22
dam mud 1980, cosine similarity=0.19

dam wall 1930, cosine similarity=0.26
dam wall 1940, cosine similarity=0.20
dam wall 1950, cosine similarity=0.20
dam wall 1960, cosine similarity=0.22
dam wall 1970, cosine similarity=0.21
dam wall 1980, cosine similarity=0.17

dam you 1930, cosine similarity=-0.01
dam you 1940, cosine similarity=-0.07
dam you 1950, cosine similarity=0.02
dam you 1960, cosine similarity=0.09
dam you 1970, cosine similarity=0.02
dam you 1980, cosine similarity=0.02

damage hurt 1930, cosine similarity=0.28
damage hurt 1940, cosine similarity=0.32
damage hurt 1950, cosine similarity=0.33
damage hurt 1960, cosine similarity=0.32
damage hurt 1970, cosine similarity=0.26
damage hurt 1980, cosine similarity=0.32

damage broken 1930, cosine similarity=0.07
damage broken 1940, cosine similarity=0.07
damage broken 1950, cosine similarity=0.07
damage broken 1960, cosine similarity=0.03
damage broken 1970, cosine similarity=0.06
damage broken 1980, cosine similarity=0.02

damage break 1930, cosine similarity=-0.02
damage break 1940, cosine similarity=0.08
damage break 1950, cosine similarity=0.09
damage break 1960, cosine similarity=0.10
damage break 1970, cosine similarity=0.07
damage break 1980, cosine similarity=0.02

damage ruin 1930, cosine similarity=0.14
damage ruin 1940, cosine similarity=0.15
damage ruin 1950, cosine similarity=0.20
damage ruin 1960, cosine similarity=0.22
damage ruin 1970, cosine similarity=0.18
damage ruin 1980, cosine similarity=0.19

damage accident 1930, cosine similarity=0.27
damage accident 1940, cosine similarity=0.30
damage accident 1950, cosine similarity=0.30
damage accident 1960, cosine similarity=0.34
damage accident 1970, cosine similarity=0.36
damage accident 1980, cosine similarity=0.34

damage destroy 1930, cosine similarity=0.17
damage destroy 1940, cosine similarity=0.27
damage destroy 1950, cosine similarity=0.21
damage destroy 1960, cosine similarity=0.28
damage destroy 1970, cosine similarity=0.25
damage destroy 1980, cosine similarity=0.26

damage harm 1930, cosine similarity=0.45
damage harm 1940, cosine similarity=0.46
damage harm 1950, cosine similarity=0.54
damage harm 1960, cosine similarity=0.55
damage harm 1970, cosine similarity=0.50
damage harm 1980, cosine similarity=0.45

damage car 1930, cosine similarity=0.10
damage car 1940, cosine similarity=0.04
damage car 1950, cosine similarity=0.11
damage car 1960, cosine similarity=0.07
damage car 1970, cosine similarity=0.10
damage car 1980, cosine similarity=0.14

damage destruction 1930, cosine similarity=0.35
damage destruction 1940, cosine similarity=0.40
damage destruction 1950, cosine similarity=0.38
damage destruction 1960, cosine similarity=0.39
damage destruction 1970, cosine similarity=0.39
damage destruction 1980, cosine similarity=0.43

damage done 1930, cosine similarity=0.36
damage done 1940, cosine similarity=0.34
damage done 1950, cosine similarity=0.32
damage done 1960, cosine similarity=0.31
damage done 1970, cosine similarity=0.31
damage done 1980, cosine similarity=0.29

damage fix 1930, cosine similarity=0.07
damage fix 1940, cosine similarity=0.03
damage fix 1950, cosine similarity=0.03
damage fix 1960, cosine similarity=0.05
damage fix 1970, cosine similarity=0.08
damage fix 1980, cosine similarity=0.03

damage property 1930, cosine similarity=0.32
damage property 1940, cosine similarity=0.31
damage property 1950, cosine similarity=0.32
damage property 1960, cosine similarity=0.27
damage property 1970, cosine similarity=0.35
damage property 1980, cosine similarity=0.28

damage repair 1930, cosine similarity=0.35
damage repair 1940, cosine similarity=0.32
damage repair 1950, cosine similarity=0.39
damage repair 1960, cosine similarity=0.38
damage repair 1970, cosine similarity=0.38
damage repair 1980, cosine similarity=0.39

damage brain 1930, cosine similarity=0.16
damage brain 1940, cosine similarity=0.29
damage brain 1950, cosine similarity=0.27
damage brain 1960, cosine similarity=0.29
damage brain 1970, cosine similarity=0.38
damage brain 1980, cosine similarity=0.36

damage crash 1930, cosine similarity=0.13
damage crash 1940, cosine similarity=0.14
damage crash 1950, cosine similarity=0.16
damage crash 1960, cosine similarity=0.12
damage crash 1970, cosine similarity=0.14
damage crash 1980, cosine similarity=0.14

damage money 1930, cosine similarity=0.09
damage money 1940, cosine similarity=0.04
damage money 1950, cosine similarity=0.10
damage money 1960, cosine similarity=0.10
damage money 1970, cosine similarity=0.09
damage money 1980, cosine similarity=0.11

damage tear 1930, cosine similarity=0.18
damage tear 1940, cosine similarity=0.30
damage tear 1950, cosine similarity=0.23
damage tear 1960, cosine similarity=0.24
damage tear 1970, cosine similarity=0.22
damage tear 1980, cosine similarity=0.24

damage water 1930, cosine similarity=0.05
damage water 1940, cosine similarity=0.00
damage water 1950, cosine similarity=0.05
damage water 1960, cosine similarity=0.06
damage water 1970, cosine similarity=0.10
damage water 1980, cosine similarity=0.09

damage wreck 1930, cosine similarity=0.23
damage wreck 1940, cosine similarity=0.17
damage wreck 1950, cosine similarity=0.25
damage wreck 1960, cosine similarity=0.27
damage wreck 1970, cosine similarity=0.28
damage wreck 1980, cosine similarity=0.15

damn it 1930, cosine similarity=0.15
damn it 1940, cosine similarity=0.17
damn it 1950, cosine similarity=0.22
damn it 1960, cosine similarity=0.16
damn it 1970, cosine similarity=0.21
damn it 1980, cosine similarity=0.24

damn curse 1930, cosine similarity=0.18
damn curse 1940, cosine similarity=0.23
damn curse 1950, cosine similarity=0.24
damn curse 1960, cosine similarity=0.24
damn curse 1970, cosine similarity=0.22
damn curse 1980, cosine similarity=0.20

damn shit 1930, cosine similarity=0.00
damn shit 1940, cosine similarity=0.00
damn shit 1950, cosine similarity=0.00
damn shit 1960, cosine similarity=0.41
damn shit 1970, cosine similarity=0.51
damn shit 1980, cosine similarity=0.52

damn god 1930, cosine similarity=0.28
damn god 1940, cosine similarity=0.32
damn god 1950, cosine similarity=0.29
damn god 1960, cosine similarity=0.26
damn god 1970, cosine similarity=0.24
damn god 1980, cosine similarity=0.28

damn hell 1930, cosine similarity=0.46
damn hell 1940, cosine similarity=0.46
damn hell 1950, cosine similarity=0.40
damn hell 1960, cosine similarity=0.42
damn hell 1970, cosine similarity=0.45
damn hell 1980, cosine similarity=0.46

damn you 1930, cosine similarity=0.35
damn you 1940, cosine similarity=0.48
damn you 1950, cosine similarity=0.46
damn you 1960, cosine similarity=0.42
damn you 1970, cosine similarity=0.39
damn you 1980, cosine similarity=0.45

damn anger 1930, cosine similarity=0.15
damn anger 1940, cosine similarity=0.18
damn anger 1950, cosine similarity=0.13
damn anger 1960, cosine similarity=0.17
damn anger 1970, cosine similarity=0.14
damn anger 1980, cosine similarity=0.18

damn bad 1930, cosine similarity=0.24
damn bad 1940, cosine similarity=0.23
damn bad 1950, cosine similarity=0.32
damn bad 1960, cosine similarity=0.27
damn bad 1970, cosine similarity=0.32
damn bad 1980, cosine similarity=0.29

damn condemn 1930, cosine similarity=0.19
damn condemn 1940, cosine similarity=0.18
damn condemn 1950, cosine similarity=0.16
damn condemn 1960, cosine similarity=0.18
damn condemn 1970, cosine similarity=0.25
damn condemn 1980, cosine similarity=0.23

damn darn 1930, cosine similarity=0.00
damn darn 1940, cosine similarity=0.00
damn darn 1950, cosine similarity=0.33
damn darn 1960, cosine similarity=0.42
damn darn 1970, cosine similarity=0.44
damn darn 1980, cosine similarity=0.26

damn good 1930, cosine similarity=0.32
damn good 1940, cosine similarity=0.22
damn good 1950, cosine similarity=0.31
damn good 1960, cosine similarity=0.30
damn good 1970, cosine similarity=0.32
damn good 1980, cosine similarity=0.36

damn water 1930, cosine similarity=0.05
damn water 1940, cosine similarity=0.02
damn water 1950, cosine similarity=0.00
damn water 1960, cosine similarity=-0.01
damn water 1970, cosine similarity=0.02
damn water 1980, cosine similarity=0.01

damn yankee 1930, cosine similarity=0.17
damn yankee 1940, cosine similarity=0.02
damn yankee 1950, cosine similarity=0.05
damn yankee 1960, cosine similarity=0.17
damn yankee 1970, cosine similarity=0.04
damn yankee 1980, cosine similarity=0.15

damn mad 1930, cosine similarity=0.29
damn mad 1940, cosine similarity=0.27
damn mad 1950, cosine similarity=0.29
damn mad 1960, cosine similarity=0.31
damn mad 1970, cosine similarity=0.37
damn mad 1980, cosine similarity=0.40

damn river 1930, cosine similarity=-0.00
damn river 1940, cosine similarity=-0.03
damn river 1950, cosine similarity=-0.05
damn river 1960, cosine similarity=0.02
damn river 1970, cosine similarity=0.08
damn river 1980, cosine similarity=-0.02

damn sun 1930, cosine similarity=0.05
damn sun 1940, cosine similarity=0.07
damn sun 1950, cosine similarity=0.08
damn sun 1960, cosine similarity=0.09
damn sun 1970, cosine similarity=0.09
damn sun 1980, cosine similarity=0.07

damn hate 1930, cosine similarity=0.32
damn hate 1940, cosine similarity=0.31
damn hate 1950, cosine similarity=0.32
damn hate 1960, cosine similarity=0.32
damn hate 1970, cosine similarity=0.31
damn hate 1980, cosine similarity=0.39

damn swear 1930, cosine similarity=0.21
damn swear 1940, cosine similarity=0.20
damn swear 1950, cosine similarity=0.28
damn swear 1960, cosine similarity=0.22
damn swear 1970, cosine similarity=0.24
damn swear 1980, cosine similarity=0.32

damp wet 1930, cosine similarity=0.55
damp wet 1940, cosine similarity=0.56
damp wet 1950, cosine similarity=0.55
damp wet 1960, cosine similarity=0.52
damp wet 1970, cosine similarity=0.51
damp wet 1980, cosine similarity=0.61

damp cold 1930, cosine similarity=0.45
damp cold 1940, cosine similarity=0.45
damp cold 1950, cosine similarity=0.46
damp cold 1960, cosine similarity=0.39
damp cold 1970, cosine similarity=0.44
damp cold 1980, cosine similarity=0.42

damp dry 1930, cosine similarity=0.44
damp dry 1940, cosine similarity=0.42
damp dry 1950, cosine similarity=0.40
damp dry 1960, cosine similarity=0.46
damp dry 1970, cosine similarity=0.44
damp dry 1980, cosine similarity=0.47

damp moist 1930, cosine similarity=0.50
damp moist 1940, cosine similarity=0.53
damp moist 1950, cosine similarity=0.52
damp moist 1960, cosine similarity=0.54
damp moist 1970, cosine similarity=0.53
damp moist 1980, cosine similarity=0.52

damp cloth 1930, cosine similarity=0.25
damp cloth 1940, cosine similarity=0.31
damp cloth 1950, cosine similarity=0.32
damp cloth 1960, cosine similarity=0.31
damp cloth 1970, cosine similarity=0.37
damp cloth 1980, cosine similarity=0.39

damp musty 1930, cosine similarity=0.25
damp musty 1940, cosine similarity=0.25
damp musty 1950, cosine similarity=0.25
damp musty 1960, cosine similarity=0.23
damp musty 1970, cosine similarity=0.29
damp musty 1980, cosine similarity=0.31

damp towel 1930, cosine similarity=0.30
damp towel 1940, cosine similarity=0.36
damp towel 1950, cosine similarity=0.36
damp towel 1960, cosine similarity=0.40
damp towel 1970, cosine similarity=0.40
damp towel 1980, cosine similarity=0.49

damp mildew 1930, cosine similarity=0.00
damp mildew 1940, cosine similarity=0.00
damp mildew 1950, cosine similarity=0.18
damp mildew 1960, cosine similarity=0.27
damp mildew 1970, cosine similarity=0.24
damp mildew 1980, cosine similarity=0.29

damp rag 1930, cosine similarity=0.32
damp rag 1940, cosine similarity=0.26
damp rag 1950, cosine similarity=0.31
damp rag 1960, cosine similarity=0.30
damp rag 1970, cosine similarity=0.33
damp rag 1980, cosine similarity=0.29

damp dew 1930, cosine similarity=0.29
damp dew 1940, cosine similarity=0.30
damp dew 1950, cosine similarity=0.31
damp dew 1960, cosine similarity=0.29
damp dew 1970, cosine similarity=0.31
damp dew 1980, cosine similarity=0.40

damp sponge 1930, cosine similarity=0.29
damp sponge 1940, cosine similarity=0.30
damp sponge 1950, cosine similarity=0.34
damp sponge 1960, cosine similarity=0.36
damp sponge 1970, cosine similarity=0.37
damp sponge 1980, cosine similarity=0.35

damp air 1930, cosine similarity=0.30
damp air 1940, cosine similarity=0.28
damp air 1950, cosine similarity=0.23
damp air 1960, cosine similarity=0.26
damp air 1970, cosine similarity=0.26
damp air 1980, cosine similarity=0.35

damp hair 1930, cosine similarity=0.30
damp hair 1940, cosine similarity=0.24
damp hair 1950, cosine similarity=0.29
damp hair 1960, cosine similarity=0.25
damp hair 1970, cosine similarity=0.33
damp hair 1980, cosine similarity=0.35

damp humid 1930, cosine similarity=0.31
damp humid 1940, cosine similarity=0.39
damp humid 1950, cosine similarity=0.38
damp humid 1960, cosine similarity=0.41
damp humid 1970, cosine similarity=0.43
damp humid 1980, cosine similarity=0.38

damp mold 1930, cosine similarity=0.20
damp mold 1940, cosine similarity=0.18
damp mold 1950, cosine similarity=0.18
damp mold 1960, cosine similarity=0.21
damp mold 1970, cosine similarity=0.30
damp mold 1980, cosine similarity=0.29

damp rain 1930, cosine similarity=0.36
damp rain 1940, cosine similarity=0.32
damp rain 1950, cosine similarity=0.38
damp rain 1960, cosine similarity=0.37
damp rain 1970, cosine similarity=0.38
damp rain 1980, cosine similarity=0.36

damp smell 1930, cosine similarity=0.34
damp smell 1940, cosine similarity=0.34
damp smell 1950, cosine similarity=0.32
damp smell 1960, cosine similarity=0.35
damp smell 1970, cosine similarity=0.32
damp smell 1980, cosine similarity=0.35

damp stink 1930, cosine similarity=0.26
damp stink 1940, cosine similarity=0.11
damp stink 1950, cosine similarity=0.15
