cue target 1930, cosine similarity=0.09
cabbage rabbit 1940, cosine similarity=0.23
cabbage rabbit 1950, cosine similarity=0.14
cabbage rabbit 1960, cosine similarity=0.21
cabbage rabbit 1970, cosine similarity=0.13
cabbage rabbit 1980, cosine similarity=0.18

cabbage red 1930, cosine similarity=0.24
cabbage red 1940, cosine similarity=0.21
cabbage red 1950, cosine similarity=0.23
cabbage red 1960, cosine similarity=0.16
cabbage red 1970, cosine similarity=0.21
cabbage red 1980, cosine similarity=0.23

cabbage food 1930, cosine similarity=0.20
cabbage food 1940, cosine similarity=0.17
cabbage food 1950, cosine similarity=0.25
cabbage food 1960, cosine similarity=0.20
cabbage food 1970, cosine similarity=0.15
cabbage food 1980, cosine similarity=0.19

cabbage head 1930, cosine similarity=0.16
cabbage head 1940, cosine similarity=0.19
cabbage head 1950, cosine similarity=0.14
cabbage head 1960, cosine similarity=0.14
cabbage head 1970, cosine similarity=0.13
cabbage head 1980, cosine similarity=0.11

cabbage salad 1930, cosine similarity=0.43
cabbage salad 1940, cosine similarity=0.45
cabbage salad 1950, cosine similarity=0.38
cabbage salad 1960, cosine similarity=0.40
cabbage salad 1970, cosine similarity=0.41
cabbage salad 1980, cosine similarity=0.36

cabbage soup 1930, cosine similarity=0.38
cabbage soup 1940, cosine similarity=0.36
cabbage soup 1950, cosine similarity=0.36
cabbage soup 1960, cosine similarity=0.40
cabbage soup 1970, cosine similarity=0.43
cabbage soup 1980, cosine similarity=0.32

cabbage white 1930, cosine similarity=0.18
cabbage white 1940, cosine similarity=0.19
cabbage white 1950, cosine similarity=0.18
cabbage white 1960, cosine similarity=0.16
cabbage white 1970, cosine similarity=0.22
cabbage white 1980, cosine similarity=0.13

cabbage yuck 1930, cosine similarity=0.00
cabbage yuck 1940, cosine similarity=0.00
cabbage yuck 1950, cosine similarity=0.00
cabbage yuck 1960, cosine similarity=0.00
cabbage yuck 1970, cosine similarity=0.00
cabbage yuck 1980, cosine similarity=0.00

cabin log 1930, cosine similarity=0.52
cabin log 1940, cosine similarity=0.49
cabin log 1950, cosine similarity=0.48
cabin log 1960, cosine similarity=0.48
cabin log 1970, cosine similarity=0.41
cabin log 1980, cosine similarity=0.41

cabin house 1930, cosine similarity=0.29
cabin house 1940, cosine similarity=0.40
cabin house 1950, cosine similarity=0.31
cabin house 1960, cosine similarity=0.32
cabin house 1970, cosine similarity=0.32
cabin house 1980, cosine similarity=0.31

cabin woods 1930, cosine similarity=0.34
cabin woods 1940, cosine similarity=0.33
cabin woods 1950, cosine similarity=0.33
cabin woods 1960, cosine similarity=0.33
cabin woods 1970, cosine similarity=0.35
cabin woods 1980, cosine similarity=0.41

cabin mountain 1930, cosine similarity=0.14
cabin mountain 1940, cosine similarity=0.21
cabin mountain 1950, cosine similarity=0.16
cabin mountain 1960, cosine similarity=0.20
cabin mountain 1970, cosine similarity=0.27
cabin mountain 1980, cosine similarity=0.28

cabin wood 1930, cosine similarity=0.18
cabin wood 1940, cosine similarity=0.19
cabin wood 1950, cosine similarity=0.19
cabin wood 1960, cosine similarity=0.25
cabin wood 1970, cosine similarity=0.24
cabin wood 1980, cosine similarity=0.24

cabin camp 1930, cosine similarity=0.28
cabin camp 1940, cosine similarity=0.25
cabin camp 1950, cosine similarity=0.30
cabin camp 1960, cosine similarity=0.26
cabin camp 1970, cosine similarity=0.23
cabin camp 1980, cosine similarity=0.32

cabin cottage 1930, cosine similarity=0.41
cabin cottage 1940, cosine similarity=0.48
cabin cottage 1950, cosine similarity=0.43
cabin cottage 1960, cosine similarity=0.41
cabin cottage 1970, cosine similarity=0.41
cabin cottage 1980, cosine similarity=0.42

cabin cruiser 1930, cosine similarity=0.20
cabin cruiser 1940, cosine similarity=0.16
cabin cruiser 1950, cosine similarity=0.15
cabin cruiser 1960, cosine similarity=0.18
cabin cruiser 1970, cosine similarity=0.21
cabin cruiser 1980, cosine similarity=0.18

cabin ship 1930, cosine similarity=0.38
cabin ship 1940, cosine similarity=0.30
cabin ship 1950, cosine similarity=0.34
cabin ship 1960, cosine similarity=0.37
cabin ship 1970, cosine similarity=0.36
cabin ship 1980, cosine similarity=0.34

cabinet kitchen 1930, cosine similarity=0.20
cabinet kitchen 1940, cosine similarity=0.21
cabinet kitchen 1950, cosine similarity=0.20
cabinet kitchen 1960, cosine similarity=0.29
cabinet kitchen 1970, cosine similarity=0.19
cabinet kitchen 1980, cosine similarity=0.19

cabinet door 1930, cosine similarity=0.15
cabinet door 1940, cosine similarity=0.17
cabinet door 1950, cosine similarity=0.20
cabinet door 1960, cosine similarity=0.19
cabinet door 1970, cosine similarity=0.16
cabinet door 1980, cosine similarity=0.17

cabinet shelf 1930, cosine similarity=0.12
cabinet shelf 1940, cosine similarity=0.14
cabinet shelf 1950, cosine similarity=0.18
cabinet shelf 1960, cosine similarity=0.14
cabinet shelf 1970, cosine similarity=0.12
cabinet shelf 1980, cosine similarity=0.17

cabinet wood 1930, cosine similarity=0.04
cabinet wood 1940, cosine similarity=0.09
cabinet wood 1950, cosine similarity=0.04
cabinet wood 1960, cosine similarity=0.12
cabinet wood 1970, cosine similarity=0.09
cabinet wood 1980, cosine similarity=0.06

cabinet drawer 1930, cosine similarity=0.22
cabinet drawer 1940, cosine similarity=0.24
cabinet drawer 1950, cosine similarity=0.29
cabinet drawer 1960, cosine similarity=0.28
cabinet drawer 1970, cosine similarity=0.26
cabinet drawer 1980, cosine similarity=0.30

cabinet maker 1930, cosine similarity=0.21
cabinet maker 1940, cosine similarity=0.17
cabinet maker 1950, cosine similarity=0.23
cabinet maker 1960, cosine similarity=0.26
cabinet maker 1970, cosine similarity=0.20
cabinet maker 1980, cosine similarity=0.23

cabinet cupboard 1930, cosine similarity=0.13
cabinet cupboard 1940, cosine similarity=0.15
cabinet cupboard 1950, cosine similarity=0.12
cabinet cupboard 1960, cosine similarity=0.18
cabinet cupboard 1970, cosine similarity=0.25
cabinet cupboard 1980, cosine similarity=0.21

cabinet dishes 1930, cosine similarity=0.06
cabinet dishes 1940, cosine similarity=0.01
cabinet dishes 1950, cosine similarity=0.06
cabinet dishes 1960, cosine similarity=0.10
cabinet dishes 1970, cosine similarity=0.14
cabinet dishes 1980, cosine similarity=0.13

cabinet storage 1930, cosine similarity=0.02
cabinet storage 1940, cosine similarity=0.00
cabinet storage 1950, cosine similarity=0.02
cabinet storage 1960, cosine similarity=-0.08
cabinet storage 1970, cosine similarity=0.06
cabinet storage 1980, cosine similarity=-0.03

cabinet closet 1930, cosine similarity=0.15
cabinet closet 1940, cosine similarity=0.16
cabinet closet 1950, cosine similarity=0.16
cabinet closet 1960, cosine similarity=0.22
cabinet closet 1970, cosine similarity=0.21
cabinet closet 1980, cosine similarity=0.19

cabinet food 1930, cosine similarity=0.09
cabinet food 1940, cosine similarity=0.05
cabinet food 1950, cosine similarity=0.10
cabinet food 1960, cosine similarity=0.03
cabinet food 1970, cosine similarity=0.02
cabinet food 1980, cosine similarity=0.09

cabinet counter 1930, cosine similarity=0.07
cabinet counter 1940, cosine similarity=0.09
cabinet counter 1950, cosine similarity=0.09
cabinet counter 1960, cosine similarity=0.09
cabinet counter 1970, cosine similarity=0.13
cabinet counter 1980, cosine similarity=0.19

cabinet desk 1930, cosine similarity=0.21
cabinet desk 1940, cosine similarity=0.13
cabinet desk 1950, cosine similarity=0.19
cabinet desk 1960, cosine similarity=0.23
cabinet desk 1970, cosine similarity=0.24
cabinet desk 1980, cosine similarity=0.23

cabinet file 1930, cosine similarity=0.11
cabinet file 1940, cosine similarity=0.14
cabinet file 1950, cosine similarity=0.21
cabinet file 1960, cosine similarity=0.17
cabinet file 1970, cosine similarity=0.21
cabinet file 1980, cosine similarity=0.20

cabinet plate 1930, cosine similarity=-0.02
cabinet plate 1940, cosine similarity=0.02
cabinet plate 1950, cosine similarity=-0.03
cabinet plate 1960, cosine similarity=0.05
cabinet plate 1970, cosine similarity=0.01
cabinet plate 1980, cosine similarity=0.04

cabinet book 1930, cosine similarity=0.01
cabinet book 1940, cosine similarity=-0.03
cabinet book 1950, cosine similarity=-0.01
cabinet book 1960, cosine similarity=-0.01
cabinet book 1970, cosine similarity=0.06
cabinet book 1980, cosine similarity=0.00

cable television 1930, cosine similarity=0.21
cable television 1940, cosine similarity=0.25
cable television 1950, cosine similarity=0.19
cable television 1960, cosine similarity=0.12
cable television 1970, cosine similarity=0.34
cable television 1980, cosine similarity=0.36

cable wire 1930, cosine similarity=0.46
cable wire 1940, cosine similarity=0.47
cable wire 1950, cosine similarity=0.48
cable wire 1960, cosine similarity=0.45
cable wire 1970, cosine similarity=0.49
cable wire 1980, cosine similarity=0.38

cable car 1930, cosine similarity=0.24
cable car 1940, cosine similarity=0.22
cable car 1950, cosine similarity=0.18
cable car 1960, cosine similarity=0.24
cable car 1970, cosine similarity=0.20
cable car 1980, cosine similarity=0.24

cable cord 1930, cosine similarity=0.25
cable cord 1940, cosine similarity=0.26
cable cord 1950, cosine similarity=0.21
cable cord 1960, cosine similarity=0.20
cable cord 1970, cosine similarity=0.24
cable cord 1980, cosine similarity=0.21

cable box 1930, cosine similarity=0.14
cable box 1940, cosine similarity=0.18
cable box 1950, cosine similarity=0.13
cable box 1960, cosine similarity=0.14
cable box 1970, cosine similarity=0.14
cable box 1980, cosine similarity=-0.01

cable hbo 1930, cosine similarity=0.00
cable hbo 1940, cosine similarity=0.00
cable hbo 1950, cosine similarity=0.00
cable hbo 1960, cosine similarity=0.00
cable hbo 1970, cosine similarity=0.00
cable hbo 1980, cosine similarity=0.00

cable rope 1930, cosine similarity=0.34
cable rope 1940, cosine similarity=0.41
cable rope 1950, cosine similarity=0.36
cable rope 1960, cosine similarity=0.38
cable rope 1970, cosine similarity=0.35
cable rope 1980, cosine similarity=0.33

cable unit 1930, cosine similarity=0.13
cable unit 1940, cosine similarity=0.18
cable unit 1950, cosine similarity=0.16
cable unit 1960, cosine similarity=0.17
cable unit 1970, cosine similarity=0.08
cable unit 1980, cosine similarity=0.12

caboose train 1930, cosine similarity=0.00
caboose train 1940, cosine similarity=0.00
caboose train 1950, cosine similarity=0.00
caboose train 1960, cosine similarity=0.00
caboose train 1970, cosine similarity=0.00
caboose train 1980, cosine similarity=0.00

caboose end 1930, cosine similarity=0.00
caboose end 1940, cosine similarity=0.00
caboose end 1950, cosine similarity=0.00
caboose end 1960, cosine similarity=0.00
caboose end 1970, cosine similarity=0.00
caboose end 1980, cosine similarity=0.00

caboose engine 1930, cosine similarity=0.00
caboose engine 1940, cosine similarity=0.00
caboose engine 1950, cosine similarity=0.00
caboose engine 1960, cosine similarity=0.00
caboose engine 1970, cosine similarity=0.00
caboose engine 1980, cosine similarity=0.00

caboose car 1930, cosine similarity=0.00
caboose car 1940, cosine similarity=0.00
caboose car 1950, cosine similarity=0.00
caboose car 1960, cosine similarity=0.00
caboose car 1970, cosine similarity=0.00
caboose car 1980, cosine similarity=0.00

caboose tail 1930, cosine similarity=0.00
caboose tail 1940, cosine similarity=0.00
caboose tail 1950, cosine similarity=0.00
caboose tail 1960, cosine similarity=0.00
caboose tail 1970, cosine similarity=0.00
caboose tail 1980, cosine similarity=0.00

caboose indian 1930, cosine similarity=0.00
caboose indian 1940, cosine similarity=0.00
caboose indian 1950, cosine similarity=0.00
caboose indian 1960, cosine similarity=0.00
caboose indian 1970, cosine similarity=0.00
caboose indian 1980, cosine similarity=0.00

caboose last 1930, cosine similarity=0.00
caboose last 1940, cosine similarity=0.00
caboose last 1950, cosine similarity=0.00
caboose last 1960, cosine similarity=0.00
caboose last 1970, cosine similarity=0.00
caboose last 1980, cosine similarity=0.00

caboose red 1930, cosine similarity=0.00
caboose red 1940, cosine similarity=0.00
caboose red 1950, cosine similarity=0.00
caboose red 1960, cosine similarity=0.00
caboose red 1970, cosine similarity=0.00
caboose red 1980, cosine similarity=0.00

cactus plant 1930, cosine similarity=0.26
cactus plant 1940, cosine similarity=0.19
cactus plant 1950, cosine similarity=0.19
cactus plant 1960, cosine similarity=0.22
cactus plant 1970, cosine similarity=0.22
cactus plant 1980, cosine similarity=0.16

cactus prickly 1930, cosine similarity=0.36
cactus prickly 1940, cosine similarity=0.39
cactus prickly 1950, cosine similarity=0.42
cactus prickly 1960, cosine similarity=0.40
cactus prickly 1970, cosine similarity=0.41
cactus prickly 1980, cosine similarity=0.41

cactus desert 1930, cosine similarity=0.25
cactus desert 1940, cosine similarity=0.27
cactus desert 1950, cosine similarity=0.22
cactus desert 1960, cosine similarity=0.19
cactus desert 1970, cosine similarity=0.22
cactus desert 1980, cosine similarity=0.21

cactus sharp 1930, cosine similarity=0.04
cactus sharp 1940, cosine similarity=0.08
cactus sharp 1950, cosine similarity=0.02
cactus sharp 1960, cosine similarity=-0.02
cactus sharp 1970, cosine similarity=0.01
cactus sharp 1980, cosine similarity=0.01

cactus spine 1930, cosine similarity=0.13
cactus spine 1940, cosine similarity=0.07
cactus spine 1950, cosine similarity=0.06
cactus spine 1960, cosine similarity=0.11
cactus spine 1970, cosine similarity=0.08
cactus spine 1980, cosine similarity=0.14

cactus thorn 1930, cosine similarity=0.29
cactus thorn 1940, cosine similarity=0.20
cactus thorn 1950, cosine similarity=0.22
cactus thorn 1960, cosine similarity=0.30
cactus thorn 1970, cosine similarity=0.12
cactus thorn 1980, cosine similarity=0.25

cactus flower 1930, cosine similarity=0.25
cactus flower 1940, cosine similarity=0.27
cactus flower 1950, cosine similarity=0.27
cactus flower 1960, cosine similarity=0.31
cactus flower 1970, cosine similarity=0.27
cactus flower 1980, cosine similarity=0.20

cactus hot 1930, cosine similarity=0.17
cactus hot 1940, cosine similarity=0.10
cactus hot 1950, cosine similarity=0.06
cactus hot 1960, cosine similarity=0.18
cactus hot 1970, cosine similarity=0.15
cactus hot 1980, cosine similarity=0.17

cactus needle 1930, cosine similarity=0.05
cactus needle 1940, cosine similarity=0.12
cactus needle 1950, cosine similarity=0.06
cactus needle 1960, cosine similarity=0.11
cactus needle 1970, cosine similarity=0.11
cactus needle 1980, cosine similarity=0.08

cactus ouch 1930, cosine similarity=0.00
cactus ouch 1940, cosine similarity=0.00
cactus ouch 1950, cosine similarity=0.00
cactus ouch 1960, cosine similarity=0.00
cactus ouch 1970, cosine similarity=0.00
cactus ouch 1980, cosine similarity=0.00

cactus point 1930, cosine similarity=-0.08
cactus point 1940, cosine similarity=-0.03
cactus point 1950, cosine similarity=-0.16
cactus point 1960, cosine similarity=-0.08
cactus point 1970, cosine similarity=-0.08
cactus point 1980, cosine similarity=-0.10

cactus arizona 1930, cosine similarity=0.21
cactus arizona 1940, cosine similarity=0.18
cactus arizona 1950, cosine similarity=0.25
cactus arizona 1960, cosine similarity=0.22
cactus arizona 1970, cosine similarity=0.18
cactus arizona 1980, cosine similarity=0.20

cactus club 1930, cosine similarity=0.19
cactus club 1940, cosine similarity=0.10
cactus club 1950, cosine similarity=0.02
cactus club 1960, cosine similarity=0.14
cactus club 1970, cosine similarity=0.17
cactus club 1980, cosine similarity=0.17

cactus green 1930, cosine similarity=0.28
cactus green 1940, cosine similarity=0.21
cactus green 1950, cosine similarity=0.24
cactus green 1960, cosine similarity=0.19
cactus green 1970, cosine similarity=0.15
cactus green 1980, cosine similarity=0.22

cactus juice 1930, cosine similarity=0.09
cactus juice 1940, cosine similarity=0.14
cactus juice 1950, cosine similarity=0.15
cactus juice 1960, cosine similarity=0.24
cactus juice 1970, cosine similarity=0.18
cactus juice 1980, cosine similarity=0.17

cafe coffee 1930, cosine similarity=0.33
cafe coffee 1940, cosine similarity=0.28
cafe coffee 1950, cosine similarity=0.32
cafe coffee 1960, cosine similarity=0.32
cafe coffee 1970, cosine similarity=0.34
cafe coffee 1980, cosine similarity=0.33

cafe food 1930, cosine similarity=0.06
cafe food 1940, cosine similarity=0.07
cafe food 1950, cosine similarity=0.15
cafe food 1960, cosine similarity=0.07
cafe food 1970, cosine similarity=0.15
cafe food 1980, cosine similarity=0.10

cafe restaurant 1930, cosine similarity=0.61
cafe restaurant 1940, cosine similarity=0.58
cafe restaurant 1950, cosine similarity=0.57
cafe restaurant 1960, cosine similarity=0.49
cafe restaurant 1970, cosine similarity=0.46
cafe restaurant 1980, cosine similarity=0.52

cafe diner 1930, cosine similarity=0.00
cafe diner 1940, cosine similarity=0.00
cafe diner 1950, cosine similarity=0.00
cafe diner 1960, cosine similarity=0.39
cafe diner 1970, cosine similarity=0.30
cafe diner 1980, cosine similarity=0.18

cafe eat 1930, cosine similarity=0.16
cafe eat 1940, cosine similarity=0.20
cafe eat 1950, cosine similarity=0.21
cafe eat 1960, cosine similarity=0.23
cafe eat 1970, cosine similarity=0.24
cafe eat 1980, cosine similarity=0.24

cafe au lait 1930, cosine similarity=0.00
cafe au lait 1940, cosine similarity=0.00
cafe au lait 1950, cosine similarity=0.00
cafe au lait 1960, cosine similarity=0.00
cafe au lait 1970, cosine similarity=0.00
cafe au lait 1980, cosine similarity=0.00

cafe lunch 1930, cosine similarity=0.42
cafe lunch 1940, cosine similarity=0.41
cafe lunch 1950, cosine similarity=0.40
cafe lunch 1960, cosine similarity=0.36
cafe lunch 1970, cosine similarity=0.39
cafe lunch 1980, cosine similarity=0.39

cafe cappuccino 1930, cosine similarity=0.00
cafe cappuccino 1940, cosine similarity=0.00
cafe cappuccino 1950, cosine similarity=0.00
cafe cappuccino 1960, cosine similarity=0.00
cafe cappuccino 1970, cosine similarity=0.00
cafe cappuccino 1980, cosine similarity=0.00

cafe corner 1930, cosine similarity=0.37
cafe corner 1940, cosine similarity=0.36
cafe corner 1950, cosine similarity=0.35
cafe corner 1960, cosine similarity=0.32
cafe corner 1970, cosine similarity=0.32
cafe corner 1980, cosine similarity=0.30

cafe dinner 1930, cosine similarity=0.42
cafe dinner 1940, cosine similarity=0.36
cafe dinner 1950, cosine similarity=0.38
cafe dinner 1960, cosine similarity=0.33
cafe dinner 1970, cosine similarity=0.33
cafe dinner 1980, cosine similarity=0.32

cafe french 1930, cosine similarity=0.06
cafe french 1940, cosine similarity=0.06
cafe french 1950, cosine similarity=0.01
cafe french 1960, cosine similarity=-0.02
cafe french 1970, cosine similarity=0.05
cafe french 1980, cosine similarity=0.11

cafe hard rock 1930, cosine similarity=0.00
cafe hard rock 1940, cosine similarity=0.00
cafe hard rock 1950, cosine similarity=0.00
cafe hard rock 1960, cosine similarity=0.00
cafe hard rock 1970, cosine similarity=0.00
cafe hard rock 1980, cosine similarity=0.00

cafe sandwich 1930, cosine similarity=0.13
cafe sandwich 1940, cosine similarity=0.22
cafe sandwich 1950, cosine similarity=0.20
cafe sandwich 1960, cosine similarity=0.27
cafe sandwich 1970, cosine similarity=0.18
cafe sandwich 1980, cosine similarity=0.08

cafe shop 1930, cosine similarity=0.38
cafe shop 1940, cosine similarity=0.31
cafe shop 1950, cosine similarity=0.37
cafe shop 1960, cosine similarity=0.33
cafe shop 1970, cosine similarity=0.31
cafe shop 1980, cosine similarity=0.35

cafe sidewalk 1930, cosine similarity=0.35
cafe sidewalk 1940, cosine similarity=0.37
cafe sidewalk 1950, cosine similarity=0.33
cafe sidewalk 1960, cosine similarity=0.33
cafe sidewalk 1970, cosine similarity=0.36
cafe sidewalk 1980, cosine similarity=0.33

cafeteria food 1930, cosine similarity=0.18
cafeteria food 1940, cosine similarity=0.17
cafeteria food 1950, cosine similarity=0.16
cafeteria food 1960, cosine similarity=0.20
cafeteria food 1970, cosine similarity=0.25
cafeteria food 1980, cosine similarity=0.31

cafeteria lunch 1930, cosine similarity=0.32
cafeteria lunch 1940, cosine similarity=0.38
cafeteria lunch 1950, cosine similarity=0.39
cafeteria lunch 1960, cosine similarity=0.41
cafeteria lunch 1970, cosine similarity=0.44
cafeteria lunch 1980, cosine similarity=0.45

cafeteria restaurant 1930, cosine similarity=0.33
cafeteria restaurant 1940, cosine similarity=0.43
cafeteria restaurant 1950, cosine similarity=0.43
cafeteria restaurant 1960, cosine similarity=0.47
cafeteria restaurant 1970, cosine similarity=0.40
cafeteria restaurant 1980, cosine similarity=0.51

cafeteria eat 1930, cosine similarity=0.19
cafeteria eat 1940, cosine similarity=0.26
cafeteria eat 1950, cosine similarity=0.27
cafeteria eat 1960, cosine similarity=0.37
cafeteria eat 1970, cosine similarity=0.33
cafeteria eat 1980, cosine similarity=0.30

cafeteria school 1930, cosine similarity=0.24
cafeteria school 1940, cosine similarity=0.14
cafeteria school 1950, cosine similarity=0.17
cafeteria school 1960, cosine similarity=0.28
cafeteria school 1970, cosine similarity=0.24
cafeteria school 1980, cosine similarity=0.22

cafeteria cafe 1930, cosine similarity=0.27
cafeteria cafe 1940, cosine similarity=0.34
cafeteria cafe 1950, cosine similarity=0.30
cafeteria cafe 1960, cosine similarity=0.31
cafeteria cafe 1970, cosine similarity=0.31
cafeteria cafe 1980, cosine similarity=0.37

cafeteria mess 1930, cosine similarity=0.09
cafeteria mess 1940, cosine similarity=0.20
cafeteria mess 1950, cosine similarity=0.24
cafeteria mess 1960, cosine similarity=0.23
cafeteria mess 1970, cosine similarity=0.20
cafeteria mess 1980, cosine similarity=0.26

cafeteria morrison's 1930, cosine similarity=0.00
cafeteria morrison's 1940, cosine similarity=0.00
cafeteria morrison's 1950, cosine similarity=0.00
cafeteria morrison's 1960, cosine similarity=0.00
cafeteria morrison's 1970, cosine similarity=0.00
cafeteria morrison's 1980, cosine similarity=0.00

cafeteria tray 1930, cosine similarity=0.20
cafeteria tray 1940, cosine similarity=0.29
cafeteria tray 1950, cosine similarity=0.25
cafeteria tray 1960, cosine similarity=0.30
cafeteria tray 1970, cosine similarity=0.26
cafeteria tray 1980, cosine similarity=0.27

caffeine coffee 1930, cosine similarity=0.24
caffeine coffee 1940, cosine similarity=0.25
caffeine coffee 1950, cosine similarity=0.28
caffeine coffee 1960, cosine similarity=0.23
caffeine coffee 1970, cosine similarity=0.34
caffeine coffee 1980, cosine similarity=0.36

caffeine coke 1930, cosine similarity=0.12
caffeine coke 1940, cosine similarity=0.13
caffeine coke 1950, cosine similarity=0.09
caffeine coke 1960, cosine similarity=0.11
caffeine coke 1970, cosine similarity=0.15
caffeine coke 1980, cosine similarity=0.25

caffeine soda 1930, cosine similarity=0.28
caffeine soda 1940, cosine similarity=0.25
caffeine soda 1950, cosine similarity=0.31
caffeine soda 1960, cosine similarity=0.30
caffeine soda 1970, cosine similarity=0.21
caffeine soda 1980, cosine similarity=0.21

caffeine hyper 1930, cosine similarity=0.00
caffeine hyper 1940, cosine similarity=0.00
caffeine hyper 1950, cosine similarity=0.19
caffeine hyper 1960, cosine similarity=0.29
caffeine hyper 1970, cosine similarity=0.23
caffeine hyper 1980, cosine similarity=0.14

caffeine drug 1930, cosine similarity=0.20
caffeine drug 1940, cosine similarity=0.25
caffeine drug 1950, cosine similarity=0.22
caffeine drug 1960, cosine similarity=0.22
caffeine drug 1970, cosine similarity=0.22
caffeine drug 1980, cosine similarity=0.36

caffeine free 1930, cosine similarity=0.07
caffeine free 1940, cosine similarity=-0.02
caffeine free 1950, cosine similarity=0.04
caffeine free 1960, cosine similarity=-0.03
caffeine free 1970, cosine similarity=0.06
caffeine free 1980, cosine similarity=0.10

caffeine tea 1930, cosine similarity=0.20
caffeine tea 1940, cosine similarity=0.25
caffeine tea 1950, cosine similarity=0.22
caffeine tea 1960, cosine similarity=0.20
caffeine tea 1970, cosine similarity=0.30
caffeine tea 1980, cosine similarity=0.31

caffeine cola 1930, cosine similarity=0.27
