a b 1930, cosine similarity=0.16
abdomen belly 1960, cosine similarity=0.42
abdomen belly 1970, cosine similarity=0.40
abdomen belly 1980, cosine similarity=0.42

abdomen cramp 1930, cosine similarity=0.14
abdomen cramp 1940, cosine similarity=0.21
abdomen cramp 1950, cosine similarity=0.22
abdomen cramp 1960, cosine similarity=0.16
abdomen cramp 1970, cosine similarity=0.21
abdomen cramp 1980, cosine similarity=0.17

abdomen crunches 1930, cosine similarity=0.00
abdomen crunches 1940, cosine similarity=0.00
abdomen crunches 1950, cosine similarity=0.00
abdomen crunches 1960, cosine similarity=0.00
abdomen crunches 1970, cosine similarity=0.00
abdomen crunches 1980, cosine similarity=0.00

abdomen intestine 1930, cosine similarity=0.35
abdomen intestine 1940, cosine similarity=0.34
abdomen intestine 1950, cosine similarity=0.34
abdomen intestine 1960, cosine similarity=0.31
abdomen intestine 1970, cosine similarity=0.35
abdomen intestine 1980, cosine similarity=0.35

abdomen sex 1930, cosine similarity=0.12
abdomen sex 1940, cosine similarity=0.16
abdomen sex 1950, cosine similarity=0.10
abdomen sex 1960, cosine similarity=0.03
abdomen sex 1970, cosine similarity=0.05
abdomen sex 1980, cosine similarity=0.02

abdomen six pack 1930, cosine similarity=0.00
abdomen six pack 1940, cosine similarity=0.00
abdomen six pack 1950, cosine similarity=0.00
abdomen six pack 1960, cosine similarity=0.00
abdomen six pack 1970, cosine similarity=0.00
abdomen six pack 1980, cosine similarity=0.00

abduct kidnap 1930, cosine similarity=0.00
abduct kidnap 1940, cosine similarity=0.00
abduct kidnap 1950, cosine similarity=0.00
abduct kidnap 1960, cosine similarity=0.00
abduct kidnap 1970, cosine similarity=0.00
abduct kidnap 1980, cosine similarity=0.00

abduct take 1930, cosine similarity=0.00
abduct take 1940, cosine similarity=0.00
abduct take 1950, cosine similarity=0.00
abduct take 1960, cosine similarity=0.00
abduct take 1970, cosine similarity=0.00
abduct take 1980, cosine similarity=0.00

abduct steal 1930, cosine similarity=0.00
abduct steal 1940, cosine similarity=0.00
abduct steal 1950, cosine similarity=0.00
abduct steal 1960, cosine similarity=0.00
abduct steal 1970, cosine similarity=0.00
abduct steal 1980, cosine similarity=0.00

abduct alien 1930, cosine similarity=0.00
abduct alien 1940, cosine similarity=0.00
abduct alien 1950, cosine similarity=0.00
abduct alien 1960, cosine similarity=0.00
abduct alien 1970, cosine similarity=0.00
abduct alien 1980, cosine similarity=0.00

abduct adduct 1930, cosine similarity=0.00
abduct adduct 1940, cosine similarity=0.00
abduct adduct 1950, cosine similarity=0.00
abduct adduct 1960, cosine similarity=0.00
abduct adduct 1970, cosine similarity=0.00
abduct adduct 1980, cosine similarity=0.00

abduct child 1930, cosine similarity=0.00
abduct child 1940, cosine similarity=0.00
abduct child 1950, cosine similarity=0.00
abduct child 1960, cosine similarity=0.00
abduct child 1970, cosine similarity=0.00
abduct child 1980, cosine similarity=0.00

abduct capture 1930, cosine similarity=0.00
abduct capture 1940, cosine similarity=0.00
abduct capture 1950, cosine similarity=0.00
abduct capture 1960, cosine similarity=0.00
abduct capture 1970, cosine similarity=0.00
abduct capture 1980, cosine similarity=0.00

abduct harass 1930, cosine similarity=0.00
abduct harass 1940, cosine similarity=0.00
abduct harass 1950, cosine similarity=0.00
abduct harass 1960, cosine similarity=0.00
abduct harass 1970, cosine similarity=0.00
abduct harass 1980, cosine similarity=0.00

abduct kidnapper 1930, cosine similarity=0.00
abduct kidnapper 1940, cosine similarity=0.00
abduct kidnapper 1950, cosine similarity=0.00
abduct kidnapper 1960, cosine similarity=0.00
abduct kidnapper 1970, cosine similarity=0.00
abduct kidnapper 1980, cosine similarity=0.00

abduct missing 1930, cosine similarity=0.00
abduct missing 1940, cosine similarity=0.00
abduct missing 1950, cosine similarity=0.00
abduct missing 1960, cosine similarity=0.00
abduct missing 1970, cosine similarity=0.00
abduct missing 1980, cosine similarity=0.00

abduct open 1930, cosine similarity=0.00
abduct open 1940, cosine similarity=0.00
abduct open 1950, cosine similarity=0.00
abduct open 1960, cosine similarity=0.00
abduct open 1970, cosine similarity=0.00
abduct open 1980, cosine similarity=0.00

ability capability 1930, cosine similarity=0.06
ability capability 1940, cosine similarity=0.16
ability capability 1950, cosine similarity=0.17
ability capability 1960, cosine similarity=0.36
ability capability 1970, cosine similarity=0.41
ability capability 1980, cosine similarity=0.46

ability able 1930, cosine similarity=0.33
ability able 1940, cosine similarity=0.40
ability able 1950, cosine similarity=0.44
ability able 1960, cosine similarity=0.40
ability able 1970, cosine similarity=0.42
ability able 1980, cosine similarity=0.46

ability competence 1930, cosine similarity=0.33
ability competence 1940, cosine similarity=0.33
ability competence 1950, cosine similarity=0.37
ability competence 1960, cosine similarity=0.35
ability competence 1970, cosine similarity=0.32
ability competence 1980, cosine similarity=0.29

ability skill 1930, cosine similarity=0.44
ability skill 1940, cosine similarity=0.48
ability skill 1950, cosine similarity=0.43
ability skill 1960, cosine similarity=0.45
ability skill 1970, cosine similarity=0.37
ability skill 1980, cosine similarity=0.42

ability strength 1930, cosine similarity=0.31
ability strength 1940, cosine similarity=0.28
ability strength 1950, cosine similarity=0.30
ability strength 1960, cosine similarity=0.24
ability strength 1970, cosine similarity=0.29
ability strength 1980, cosine similarity=0.29

ability inability 1930, cosine similarity=0.51
ability inability 1940, cosine similarity=0.44
ability inability 1950, cosine similarity=0.49
ability inability 1960, cosine similarity=0.51
ability inability 1970, cosine similarity=0.55
ability inability 1980, cosine similarity=0.54

ability power 1930, cosine similarity=0.24
ability power 1940, cosine similarity=0.16
ability power 1950, cosine similarity=0.21
ability power 1960, cosine similarity=0.21
ability power 1970, cosine similarity=0.24
ability power 1980, cosine similarity=0.23

ability talent 1930, cosine similarity=0.30
ability talent 1940, cosine similarity=0.33
ability talent 1950, cosine similarity=0.34
ability talent 1960, cosine similarity=0.28
ability talent 1970, cosine similarity=0.28
ability talent 1980, cosine similarity=0.29

ability disability 1930, cosine similarity=0.11
ability disability 1940, cosine similarity=0.06
ability disability 1950, cosine similarity=0.03
ability disability 1960, cosine similarity=0.12
ability disability 1970, cosine similarity=0.15
ability disability 1980, cosine similarity=0.13

ability do 1930, cosine similarity=0.14
ability do 1940, cosine similarity=0.24
ability do 1950, cosine similarity=0.18
ability do 1960, cosine similarity=0.20
ability do 1970, cosine similarity=0.28
ability do 1980, cosine similarity=0.22

ability potential 1930, cosine similarity=0.14
ability potential 1940, cosine similarity=0.08
ability potential 1950, cosine similarity=0.08
ability potential 1960, cosine similarity=0.11
ability potential 1970, cosine similarity=0.11
ability potential 1980, cosine similarity=0.19

ability athlete 1930, cosine similarity=0.13
ability athlete 1940, cosine similarity=0.18
ability athlete 1950, cosine similarity=0.15
ability athlete 1960, cosine similarity=0.20
ability athlete 1970, cosine similarity=0.13
ability athlete 1980, cosine similarity=0.17

ability can 1930, cosine similarity=0.18
ability can 1940, cosine similarity=0.20
ability can 1950, cosine similarity=0.19
ability can 1960, cosine similarity=0.16
ability can 1970, cosine similarity=0.15
ability can 1980, cosine similarity=0.18

ability capacity 1930, cosine similarity=0.45
ability capacity 1940, cosine similarity=0.43
ability capacity 1950, cosine similarity=0.46
ability capacity 1960, cosine similarity=0.49
ability capacity 1970, cosine similarity=0.50
ability capacity 1980, cosine similarity=0.49

ability know how 1930, cosine similarity=0.00
ability know how 1940, cosine similarity=0.00
ability know how 1950, cosine similarity=0.00
ability know how 1960, cosine similarity=0.00
ability know how 1970, cosine similarity=0.00
ability know how 1980, cosine similarity=0.00

ability knowledge 1930, cosine similarity=0.26
ability knowledge 1940, cosine similarity=0.30
ability knowledge 1950, cosine similarity=0.27
ability knowledge 1960, cosine similarity=0.24
ability knowledge 1970, cosine similarity=0.29
ability knowledge 1980, cosine similarity=0.25

ability mind 1930, cosine similarity=0.09
ability mind 1940, cosine similarity=0.13
ability mind 1950, cosine similarity=0.17
ability mind 1960, cosine similarity=0.15
ability mind 1970, cosine similarity=0.13
ability mind 1980, cosine similarity=0.17

ability physical 1930, cosine similarity=0.25
ability physical 1940, cosine similarity=0.24
ability physical 1950, cosine similarity=0.25
ability physical 1960, cosine similarity=0.18
ability physical 1970, cosine similarity=0.13
ability physical 1980, cosine similarity=0.18

ability sport 1930, cosine similarity=-0.03
ability sport 1940, cosine similarity=0.00
ability sport 1950, cosine similarity=-0.01
ability sport 1960, cosine similarity=-0.11
ability sport 1970, cosine similarity=-0.05
ability sport 1980, cosine similarity=-0.05

ability to 1930, cosine similarity=0.21
ability to 1940, cosine similarity=0.26
ability to 1950, cosine similarity=0.13
ability to 1960, cosine similarity=0.30
ability to 1970, cosine similarity=0.29
ability to 1980, cosine similarity=0.29

ability unable 1930, cosine similarity=0.34
ability unable 1940, cosine similarity=0.32
ability unable 1950, cosine similarity=0.33
ability unable 1960, cosine similarity=0.38
ability unable 1970, cosine similarity=0.36
ability unable 1980, cosine similarity=0.40

ability work 1930, cosine similarity=0.28
ability work 1940, cosine similarity=0.20
ability work 1950, cosine similarity=0.20
ability work 1960, cosine similarity=0.20
ability work 1970, cosine similarity=0.13
ability work 1980, cosine similarity=0.17

able willing 1930, cosine similarity=0.44
able willing 1940, cosine similarity=0.46
able willing 1950, cosine similarity=0.46
able willing 1960, cosine similarity=0.50
able willing 1970, cosine similarity=0.51
able willing 1980, cosine similarity=0.58

able can 1930, cosine similarity=0.40
able can 1940, cosine similarity=0.28
able can 1950, cosine similarity=0.37
able can 1960, cosine similarity=0.30
able can 1970, cosine similarity=0.38
able can 1980, cosine similarity=0.37

able capable 1930, cosine similarity=0.11
able capable 1940, cosine similarity=0.13
able capable 1950, cosine similarity=0.14
able capable 1960, cosine similarity=0.07
able capable 1970, cosine similarity=0.12
able capable 1980, cosine similarity=0.16

able unable 1930, cosine similarity=0.60
able unable 1940, cosine similarity=0.62
able unable 1950, cosine similarity=0.58
able unable 1960, cosine similarity=0.64
able unable 1970, cosine similarity=0.64
able unable 1980, cosine similarity=0.61

able to 1930, cosine similarity=0.30
able to 1940, cosine similarity=0.39
able to 1950, cosine similarity=0.37
able to 1960, cosine similarity=0.40
able to 1970, cosine similarity=0.45
able to 1980, cosine similarity=0.38

able disabled 1930, cosine similarity=0.00
able disabled 1940, cosine similarity=0.07
able disabled 1950, cosine similarity=0.01
able disabled 1960, cosine similarity=0.04
able disabled 1970, cosine similarity=0.10
able disabled 1980, cosine similarity=0.09

able do 1930, cosine similarity=0.38
able do 1940, cosine similarity=0.35
able do 1950, cosine similarity=0.35
able do 1960, cosine similarity=0.44
able do 1970, cosine similarity=0.37
able do 1980, cosine similarity=0.41

able bodied 1930, cosine similarity=0.28
able bodied 1940, cosine similarity=0.30
able bodied 1950, cosine similarity=0.22
able bodied 1960, cosine similarity=0.27
able bodied 1970, cosine similarity=0.24
able bodied 1980, cosine similarity=0.21

able handicapped 1930, cosine similarity=0.01
able handicapped 1940, cosine similarity=0.11
able handicapped 1950, cosine similarity=0.05
able handicapped 1960, cosine similarity=0.06
able handicapped 1970, cosine similarity=0.08
able handicapped 1980, cosine similarity=0.08

able strong 1930, cosine similarity=0.18
able strong 1940, cosine similarity=0.19
able strong 1950, cosine similarity=0.19
able strong 1960, cosine similarity=0.13
able strong 1970, cosine similarity=0.25
able strong 1980, cosine similarity=0.18

able ability 1930, cosine similarity=0.33
able ability 1940, cosine similarity=0.40
able ability 1950, cosine similarity=0.44
able ability 1960, cosine similarity=0.40
able ability 1970, cosine similarity=0.42
able ability 1980, cosine similarity=0.46

able cain 1930, cosine similarity=-0.01
able cain 1940, cosine similarity=-0.09
able cain 1950, cosine similarity=-0.09
able cain 1960, cosine similarity=-0.11
able cain 1970, cosine similarity=-0.17
able cain 1980, cosine similarity=-0.07

able easy 1930, cosine similarity=0.34
able easy 1940, cosine similarity=0.34
able easy 1950, cosine similarity=0.40
able easy 1960, cosine similarity=0.42
able easy 1970, cosine similarity=0.40
able easy 1980, cosine similarity=0.42

able ready 1930, cosine similarity=0.35
able ready 1940, cosine similarity=0.28
able ready 1950, cosine similarity=0.36
able ready 1960, cosine similarity=0.32
able ready 1970, cosine similarity=0.32
able ready 1980, cosine similarity=0.38

able well 1930, cosine similarity=0.13
able well 1940, cosine similarity=0.08
able well 1950, cosine similarity=0.13
able well 1960, cosine similarity=0.13
able well 1970, cosine similarity=0.13
able well 1980, cosine similarity=0.12

abnormal normal 1930, cosine similarity=0.39
abnormal normal 1940, cosine similarity=0.38
abnormal normal 1950, cosine similarity=0.37
abnormal normal 1960, cosine similarity=0.48
abnormal normal 1970, cosine similarity=0.43
abnormal normal 1980, cosine similarity=0.44

abnormal weird 1930, cosine similarity=0.08
abnormal weird 1940, cosine similarity=0.04
abnormal weird 1950, cosine similarity=0.03
abnormal weird 1960, cosine similarity=-0.05
abnormal weird 1970, cosine similarity=0.03
abnormal weird 1980, cosine similarity=0.06

abnormal strange 1930, cosine similarity=0.07
abnormal strange 1940, cosine similarity=0.08
abnormal strange 1950, cosine similarity=0.09
abnormal strange 1960, cosine similarity=0.10
abnormal strange 1970, cosine similarity=0.05
abnormal strange 1980, cosine similarity=0.05

abnormal different 1930, cosine similarity=0.06
abnormal different 1940, cosine similarity=0.13
abnormal different 1950, cosine similarity=0.12
abnormal different 1960, cosine similarity=0.11
abnormal different 1970, cosine similarity=0.09
abnormal different 1980, cosine similarity=0.07

abnormal retarded 1930, cosine similarity=0.14
abnormal retarded 1940, cosine similarity=0.25
abnormal retarded 1950, cosine similarity=0.22
abnormal retarded 1960, cosine similarity=0.22
abnormal retarded 1970, cosine similarity=0.20
abnormal retarded 1980, cosine similarity=0.18

abnormal crazy 1930, cosine similarity=0.04
abnormal crazy 1940, cosine similarity=0.05
abnormal crazy 1950, cosine similarity=0.05
abnormal crazy 1960, cosine similarity=-0.02
abnormal crazy 1970, cosine similarity=0.00
abnormal crazy 1980, cosine similarity=-0.02

abnormal odd 1930, cosine similarity=0.03
abnormal odd 1940, cosine similarity=0.03
abnormal odd 1950, cosine similarity=0.04
abnormal odd 1960, cosine similarity=0.08
abnormal odd 1970, cosine similarity=0.12
abnormal odd 1980, cosine similarity=0.04

abnormal deformed 1930, cosine similarity=0.11
abnormal deformed 1940, cosine similarity=0.15
abnormal deformed 1950, cosine similarity=0.05
abnormal deformed 1960, cosine similarity=0.14
abnormal deformed 1970, cosine similarity=0.13
abnormal deformed 1980, cosine similarity=0.06

abnormal insane 1930, cosine similarity=0.15
abnormal insane 1940, cosine similarity=0.09
abnormal insane 1950, cosine similarity=0.08
abnormal insane 1960, cosine similarity=0.14
abnormal insane 1970, cosine similarity=0.05
abnormal insane 1980, cosine similarity=0.09

abnormal me 1930, cosine similarity=-0.15
abnormal me 1940, cosine similarity=-0.17
abnormal me 1950, cosine similarity=-0.10
abnormal me 1960, cosine similarity=-0.10
abnormal me 1970, cosine similarity=-0.18
abnormal me 1980, cosine similarity=-0.15

abnormal psychology 1930, cosine similarity=0.42
abnormal psychology 1940, cosine similarity=0.38
abnormal psychology 1950, cosine similarity=0.41
abnormal psychology 1960, cosine similarity=0.39
abnormal psychology 1970, cosine similarity=0.43
abnormal psychology 1980, cosine similarity=0.39

abnormal uncommon 1930, cosine similarity=0.12
abnormal uncommon 1940, cosine similarity=0.11
abnormal uncommon 1950, cosine similarity=0.18
abnormal uncommon 1960, cosine similarity=0.18
abnormal uncommon 1970, cosine similarity=0.21
abnormal uncommon 1980, cosine similarity=0.13

abnormal unusual 1930, cosine similarity=0.29
abnormal unusual 1940, cosine similarity=0.26
abnormal unusual 1950, cosine similarity=0.27
abnormal unusual 1960, cosine similarity=0.26
abnormal unusual 1970, cosine similarity=0.20
abnormal unusual 1980, cosine similarity=0.17

above below 1930, cosine similarity=0.60
above below 1940, cosine similarity=0.60
above below 1950, cosine similarity=0.65
above below 1960, cosine similarity=0.63
above below 1970, cosine similarity=0.63
above below 1980, cosine similarity=0.67

above beyond 1930, cosine similarity=0.24
above beyond 1940, cosine similarity=0.21
above beyond 1950, cosine similarity=0.27
above beyond 1960, cosine similarity=0.24
above beyond 1970, cosine similarity=0.26
above beyond 1980, cosine similarity=0.23

above up 1930, cosine similarity=0.09
above up 1940, cosine similarity=0.06
above up 1950, cosine similarity=0.03
above up 1960, cosine similarity=0.09
above up 1970, cosine similarity=0.08
above up 1980, cosine similarity=0.13

above high 1930, cosine similarity=0.24
above high 1940, cosine similarity=0.22
above high 1950, cosine similarity=0.21
above high 1960, cosine similarity=0.20
above high 1970, cosine similarity=0.14
above high 1980, cosine similarity=0.21

above over 1930, cosine similarity=0.22
above over 1940, cosine similarity=0.13
above over 1950, cosine similarity=0.18
above over 1960, cosine similarity=0.13
above over 1970, cosine similarity=0.22
above over 1980, cosine similarity=0.24

above top 1930, cosine similarity=0.32
above top 1940, cosine similarity=0.23
above top 1950, cosine similarity=0.24
above top 1960, cosine similarity=0.30
above top 1970, cosine similarity=0.24
above top 1980, cosine similarity=0.28

above average 1930, cosine similarity=0.24
above average 1940, cosine similarity=0.20
above average 1950, cosine similarity=0.25
above average 1960, cosine similarity=0.21
above average 1970, cosine similarity=0.26
above average 1980, cosine similarity=0.17

above cloud 1930, cosine similarity=0.11
above cloud 1940, cosine similarity=0.11
above cloud 1950, cosine similarity=0.08
above cloud 1960, cosine similarity=0.16
above cloud 1970, cosine similarity=0.12
above cloud 1980, cosine similarity=0.13

above sky 1930, cosine similarity=0.29
above sky 1940, cosine similarity=0.25
above sky 1950, cosine similarity=0.19
above sky 1960, cosine similarity=0.23
above sky 1970, cosine similarity=0.22
above sky 1980, cosine similarity=0.24

absence good 1930, cosine similarity=-0.00
absence good 1940, cosine similarity=0.01
absence good 1950, cosine similarity=0.02
absence good 1960, cosine similarity=0.01
absence good 1970, cosine similarity=0.01
absence good 1980, cosine similarity=0.03

absence present 1930, cosine similarity=0.14
absence present 1940, cosine similarity=0.12
absence present 1950, cosine similarity=0.13
absence present 1960, cosine similarity=0.13
absence present 1970, cosine similarity=0.17
absence present 1980, cosine similarity=0.22

absence missing 1930, cosine similarity=-0.05
absence missing 1940, cosine similarity=0.06
absence missing 1950, cosine similarity=0.06
absence missing 1960, cosine similarity=0.07
absence missing 1970, cosine similarity=0.09
absence missing 1980, cosine similarity=0.02

absence sick 1930, cosine similarity=-0.02
absence sick 1940, cosine similarity=-0.04
absence sick 1950, cosine similarity=0.03
absence sick 1960, cosine similarity=0.02
absence sick 1970, cosine similarity=-0.06
absence sick 1980, cosine similarity=-0.05

absence presence 1930, cosine similarity=0.48
absence presence 1940, cosine similarity=0.50
absence presence 1950, cosine similarity=0.53
absence presence 1960, cosine similarity=0.55
absence presence 1970, cosine similarity=0.53
absence presence 1980, cosine similarity=0.57

absence tardy 1930, cosine similarity=0.02
absence tardy 1940, cosine similarity=0.01
absence tardy 1950, cosine similarity=0.01
absence tardy 1960, cosine similarity=0.10
absence tardy 1970, cosine similarity=-0.06
absence tardy 1980, cosine similarity=0.06

absence attendance 1930, cosine similarity=0.21
absence attendance 1940, cosine similarity=0.11
absence attendance 1950, cosine similarity=0.13
absence attendance 1960, cosine similarity=0.22
absence attendance 1970, cosine similarity=0.09
absence attendance 1980, cosine similarity=0.18

absence not there 1930, cosine similarity=0.00
absence not there 1940, cosine similarity=0.00
absence not there 1950, cosine similarity=0.00
absence not there 1960, cosine similarity=0.00
absence not there 1970, cosine similarity=0.00
absence not there 1980, cosine similarity=0.00

absence away 1930, cosine similarity=-0.09
absence away 1940, cosine similarity=-0.06
absence away 1950, cosine similarity=-0.05
absence away 1960, cosine similarity=0.01
absence away 1970, cosine similarity=-0.00
absence away 1980, cosine similarity=-0.04

absence class 1930, cosine similarity=0.03
absence class 1940, cosine similarity=-0.05
absence class 1950, cosine similarity=0.02
absence class 1960, cosine similarity=0.03
absence class 1970, cosine similarity=-0.07
absence class 1980, cosine similarity=-0.02

