tab soda 1930, cosine similarity=0.00
table cloth 1940, cosine similarity=0.26
table cloth 1950, cosine similarity=0.21
table cloth 1960, cosine similarity=0.15
table cloth 1970, cosine similarity=0.15
table cloth 1980, cosine similarity=0.19

table eat 1930, cosine similarity=0.17
table eat 1940, cosine similarity=0.14
table eat 1950, cosine similarity=0.22
table eat 1960, cosine similarity=0.24
table eat 1970, cosine similarity=0.18
table eat 1980, cosine similarity=0.22

table desk 1930, cosine similarity=0.38
table desk 1940, cosine similarity=0.34
table desk 1950, cosine similarity=0.36
table desk 1960, cosine similarity=0.34
table desk 1970, cosine similarity=0.32
table desk 1980, cosine similarity=0.36

table dinner 1930, cosine similarity=0.31
table dinner 1940, cosine similarity=0.31
table dinner 1950, cosine similarity=0.30
table dinner 1960, cosine similarity=0.30
table dinner 1970, cosine similarity=0.24
table dinner 1980, cosine similarity=0.28

table top 1930, cosine similarity=0.25
table top 1940, cosine similarity=0.27
table top 1950, cosine similarity=0.27
table top 1960, cosine similarity=0.31
table top 1970, cosine similarity=0.22
table top 1980, cosine similarity=0.31

table legs 1930, cosine similarity=0.18
table legs 1940, cosine similarity=0.19
table legs 1950, cosine similarity=0.23
table legs 1960, cosine similarity=0.20
table legs 1970, cosine similarity=0.21
table legs 1980, cosine similarity=0.17

table setting 1930, cosine similarity=0.08
table setting 1940, cosine similarity=0.08
table setting 1950, cosine similarity=0.06
table setting 1960, cosine similarity=0.02
table setting 1970, cosine similarity=0.03
table setting 1980, cosine similarity=0.02

table sit 1930, cosine similarity=0.26
table sit 1940, cosine similarity=0.27
table sit 1950, cosine similarity=0.33
table sit 1960, cosine similarity=0.31
table sit 1970, cosine similarity=0.28
table sit 1980, cosine similarity=0.28

table tennis 1930, cosine similarity=0.08
table tennis 1940, cosine similarity=0.16
table tennis 1950, cosine similarity=0.18
table tennis 1960, cosine similarity=0.18
table tennis 1970, cosine similarity=0.21
table tennis 1980, cosine similarity=0.13

tablet pill 1930, cosine similarity=0.09
tablet pill 1940, cosine similarity=0.21
tablet pill 1950, cosine similarity=0.04
tablet pill 1960, cosine similarity=0.20
tablet pill 1970, cosine similarity=0.13
tablet pill 1980, cosine similarity=0.22

tablet aspirin 1930, cosine similarity=0.00
tablet aspirin 1940, cosine similarity=0.21
tablet aspirin 1950, cosine similarity=0.15
tablet aspirin 1960, cosine similarity=0.20
tablet aspirin 1970, cosine similarity=0.20
tablet aspirin 1980, cosine similarity=0.25

tablet paper 1930, cosine similarity=0.21
tablet paper 1940, cosine similarity=0.24
tablet paper 1950, cosine similarity=0.21
tablet paper 1960, cosine similarity=0.22
tablet paper 1970, cosine similarity=0.16
tablet paper 1980, cosine similarity=0.23

tablet medicine 1930, cosine similarity=-0.02
tablet medicine 1940, cosine similarity=0.03
tablet medicine 1950, cosine similarity=-0.03
tablet medicine 1960, cosine similarity=0.05
tablet medicine 1970, cosine similarity=0.08
tablet medicine 1980, cosine similarity=0.07

tablet commandments 1930, cosine similarity=0.12
tablet commandments 1940, cosine similarity=0.13
tablet commandments 1950, cosine similarity=0.14
tablet commandments 1960, cosine similarity=0.17
tablet commandments 1970, cosine similarity=0.14
tablet commandments 1980, cosine similarity=0.14

tablet stone 1930, cosine similarity=0.31
tablet stone 1940, cosine similarity=0.28
tablet stone 1950, cosine similarity=0.28
tablet stone 1960, cosine similarity=0.32
tablet stone 1970, cosine similarity=0.27
tablet stone 1980, cosine similarity=0.23

tablet tylenol 1930, cosine similarity=0.00
tablet tylenol 1940, cosine similarity=0.00
tablet tylenol 1950, cosine similarity=0.00
tablet tylenol 1960, cosine similarity=0.00
tablet tylenol 1970, cosine similarity=0.00
tablet tylenol 1980, cosine similarity=0.00

tablet capsule 1930, cosine similarity=0.24
tablet capsule 1940, cosine similarity=0.26
tablet capsule 1950, cosine similarity=0.27
tablet capsule 1960, cosine similarity=0.26
tablet capsule 1970, cosine similarity=0.28
tablet capsule 1980, cosine similarity=0.31

tablet pad 1930, cosine similarity=0.19
tablet pad 1940, cosine similarity=0.25
tablet pad 1950, cosine similarity=0.30
tablet pad 1960, cosine similarity=0.20
tablet pad 1970, cosine similarity=0.18
tablet pad 1980, cosine similarity=0.25

tablet vitamin 1930, cosine similarity=0.01
tablet vitamin 1940, cosine similarity=0.06
tablet vitamin 1950, cosine similarity=0.04
tablet vitamin 1960, cosine similarity=0.12
tablet vitamin 1970, cosine similarity=0.03
tablet vitamin 1980, cosine similarity=0.10

tablet water 1930, cosine similarity=0.04
tablet water 1940, cosine similarity=0.04
tablet water 1950, cosine similarity=0.03
tablet water 1960, cosine similarity=0.07
tablet water 1970, cosine similarity=0.10
tablet water 1980, cosine similarity=0.10

tablet chair 1930, cosine similarity=0.09
tablet chair 1940, cosine similarity=0.07
tablet chair 1950, cosine similarity=0.11
tablet chair 1960, cosine similarity=0.10
tablet chair 1970, cosine similarity=0.14
tablet chair 1980, cosine similarity=0.08

tablet glass 1930, cosine similarity=0.24
tablet glass 1940, cosine similarity=0.22
tablet glass 1950, cosine similarity=0.16
tablet glass 1960, cosine similarity=0.13
tablet glass 1970, cosine similarity=0.16
tablet glass 1980, cosine similarity=0.19

tablet notes 1930, cosine similarity=0.14
tablet notes 1940, cosine similarity=0.10
tablet notes 1950, cosine similarity=0.11
tablet notes 1960, cosine similarity=0.03
tablet notes 1970, cosine similarity=0.07
tablet notes 1980, cosine similarity=0.07

tablet pen 1930, cosine similarity=0.12
tablet pen 1940, cosine similarity=0.18
tablet pen 1950, cosine similarity=0.25
tablet pen 1960, cosine similarity=0.18
tablet pen 1970, cosine similarity=0.24
tablet pen 1980, cosine similarity=0.26

tablet sick 1930, cosine similarity=-0.10
tablet sick 1940, cosine similarity=-0.00
tablet sick 1950, cosine similarity=0.02
tablet sick 1960, cosine similarity=0.02
tablet sick 1970, cosine similarity=0.01
tablet sick 1980, cosine similarity=-0.04

tablet write 1930, cosine similarity=0.07
tablet write 1940, cosine similarity=0.13
tablet write 1950, cosine similarity=0.15
tablet write 1960, cosine similarity=0.19
tablet write 1970, cosine similarity=0.16
tablet write 1980, cosine similarity=0.17

taboo bad 1930, cosine similarity=0.16
taboo bad 1940, cosine similarity=0.15
taboo bad 1950, cosine similarity=0.07
taboo bad 1960, cosine similarity=0.05
taboo bad 1970, cosine similarity=-0.02
taboo bad 1980, cosine similarity=0.04

taboo forbidden 1930, cosine similarity=0.22
taboo forbidden 1940, cosine similarity=0.16
taboo forbidden 1950, cosine similarity=0.20
taboo forbidden 1960, cosine similarity=0.17
taboo forbidden 1970, cosine similarity=0.13
taboo forbidden 1980, cosine similarity=0.09

taboo no 1930, cosine similarity=0.03
taboo no 1940, cosine similarity=0.05
taboo no 1950, cosine similarity=0.03
taboo no 1960, cosine similarity=0.11
taboo no 1970, cosine similarity=0.08
taboo no 1980, cosine similarity=0.06

taboo voodoo 1930, cosine similarity=0.00
taboo voodoo 1940, cosine similarity=0.00
taboo voodoo 1950, cosine similarity=0.00
taboo voodoo 1960, cosine similarity=0.00
taboo voodoo 1970, cosine similarity=0.16
taboo voodoo 1980, cosine similarity=0.12

taboo evil 1930, cosine similarity=0.27
taboo evil 1940, cosine similarity=0.12
taboo evil 1950, cosine similarity=0.15
taboo evil 1960, cosine similarity=0.09
taboo evil 1970, cosine similarity=0.08
taboo evil 1980, cosine similarity=0.11

taboo wrong 1930, cosine similarity=0.13
taboo wrong 1940, cosine similarity=0.08
taboo wrong 1950, cosine similarity=0.00
taboo wrong 1960, cosine similarity=0.08
taboo wrong 1970, cosine similarity=0.05
taboo wrong 1980, cosine similarity=0.08

taboo witch 1930, cosine similarity=0.10
taboo witch 1940, cosine similarity=0.11
taboo witch 1950, cosine similarity=0.08
taboo witch 1960, cosine similarity=0.16
taboo witch 1970, cosine similarity=-0.01
taboo witch 1980, cosine similarity=0.12

taboo superstition 1930, cosine similarity=0.21
taboo superstition 1940, cosine similarity=0.22
taboo superstition 1950, cosine similarity=0.14
taboo superstition 1960, cosine similarity=0.14
taboo superstition 1970, cosine similarity=0.14
taboo superstition 1980, cosine similarity=0.17

taboo incest 1930, cosine similarity=0.42
taboo incest 1940, cosine similarity=0.34
taboo incest 1950, cosine similarity=0.38
taboo incest 1960, cosine similarity=0.43
taboo incest 1970, cosine similarity=0.47
taboo incest 1980, cosine similarity=0.38

taboo myth 1930, cosine similarity=0.13
taboo myth 1940, cosine similarity=0.23
taboo myth 1950, cosine similarity=0.17
taboo myth 1960, cosine similarity=0.16
taboo myth 1970, cosine similarity=0.16
taboo myth 1980, cosine similarity=0.28

taboo curse 1930, cosine similarity=0.20
taboo curse 1940, cosine similarity=0.17
taboo curse 1950, cosine similarity=0.19
taboo curse 1960, cosine similarity=0.11
taboo curse 1970, cosine similarity=0.23
taboo curse 1980, cosine similarity=0.19

taboo sex 1930, cosine similarity=0.14
taboo sex 1940, cosine similarity=0.16
taboo sex 1950, cosine similarity=0.17
taboo sex 1960, cosine similarity=0.28
taboo sex 1970, cosine similarity=0.20
taboo sex 1980, cosine similarity=0.29

taboo hex 1930, cosine similarity=0.00
taboo hex 1940, cosine similarity=0.00
taboo hex 1950, cosine similarity=0.00
taboo hex 1960, cosine similarity=0.00
taboo hex 1970, cosine similarity=0.00
taboo hex 1980, cosine similarity=0.00

taboo immoral 1930, cosine similarity=0.17
taboo immoral 1940, cosine similarity=0.26
taboo immoral 1950, cosine similarity=0.16
taboo immoral 1960, cosine similarity=0.18
taboo immoral 1970, cosine similarity=0.04
taboo immoral 1980, cosine similarity=0.19

taboo indian 1930, cosine similarity=0.07
taboo indian 1940, cosine similarity=0.08
taboo indian 1950, cosine similarity=0.01
taboo indian 1960, cosine similarity=0.05
taboo indian 1970, cosine similarity=-0.04
taboo indian 1980, cosine similarity=0.01

taboo jinx 1930, cosine similarity=0.00
taboo jinx 1940, cosine similarity=0.00
taboo jinx 1950, cosine similarity=0.00
taboo jinx 1960, cosine similarity=0.00
taboo jinx 1970, cosine similarity=0.00
taboo jinx 1980, cosine similarity=0.00

taboo norm 1930, cosine similarity=0.04
taboo norm 1940, cosine similarity=0.09
taboo norm 1950, cosine similarity=0.02
taboo norm 1960, cosine similarity=0.10
taboo norm 1970, cosine similarity=0.09
taboo norm 1980, cosine similarity=0.15

taboo old 1930, cosine similarity=0.03
taboo old 1940, cosine similarity=0.08
taboo old 1950, cosine similarity=0.08
taboo old 1960, cosine similarity=-0.02
taboo old 1970, cosine similarity=0.05
taboo old 1980, cosine similarity=0.13

taboo restriction 1930, cosine similarity=0.13
taboo restriction 1940, cosine similarity=0.14
taboo restriction 1950, cosine similarity=0.07
taboo restriction 1960, cosine similarity=0.19
taboo restriction 1970, cosine similarity=0.19
taboo restriction 1980, cosine similarity=0.16

taboo sacred 1930, cosine similarity=0.19
taboo sacred 1940, cosine similarity=0.20
taboo sacred 1950, cosine similarity=0.23
taboo sacred 1960, cosine similarity=0.09
taboo sacred 1970, cosine similarity=0.12
taboo sacred 1980, cosine similarity=0.12

taboo sign 1930, cosine similarity=0.12
taboo sign 1940, cosine similarity=0.12
taboo sign 1950, cosine similarity=-0.02
taboo sign 1960, cosine similarity=0.05
taboo sign 1970, cosine similarity=0.05
taboo sign 1980, cosine similarity=0.07

taboo spell 1930, cosine similarity=0.13
taboo spell 1940, cosine similarity=0.08
taboo spell 1950, cosine similarity=0.05
taboo spell 1960, cosine similarity=0.11
taboo spell 1970, cosine similarity=0.10
taboo spell 1980, cosine similarity=0.09

taboo tattoo 1930, cosine similarity=0.00
taboo tattoo 1940, cosine similarity=0.00
taboo tattoo 1950, cosine similarity=0.00
taboo tattoo 1960, cosine similarity=0.02
taboo tattoo 1970, cosine similarity=0.08
taboo tattoo 1980, cosine similarity=-0.06

taboo weird 1930, cosine similarity=0.06
taboo weird 1940, cosine similarity=0.13
taboo weird 1950, cosine similarity=0.14
taboo weird 1960, cosine similarity=0.11
taboo weird 1970, cosine similarity=0.09
taboo weird 1980, cosine similarity=0.03

tack nail 1930, cosine similarity=0.17
tack nail 1940, cosine similarity=0.24
tack nail 1950, cosine similarity=0.14
tack nail 1960, cosine similarity=0.23
tack nail 1970, cosine similarity=0.13
tack nail 1980, cosine similarity=0.29

tack thumb 1930, cosine similarity=0.14
tack thumb 1940, cosine similarity=0.20
tack thumb 1950, cosine similarity=0.17
tack thumb 1960, cosine similarity=0.20
tack thumb 1970, cosine similarity=0.13
tack thumb 1980, cosine similarity=0.17

tack sharp 1930, cosine similarity=0.21
tack sharp 1940, cosine similarity=0.12
tack sharp 1950, cosine similarity=0.16
tack sharp 1960, cosine similarity=0.16
tack sharp 1970, cosine similarity=0.17
tack sharp 1980, cosine similarity=0.19

tack pin 1930, cosine similarity=0.15
tack pin 1940, cosine similarity=0.11
tack pin 1950, cosine similarity=0.04
tack pin 1960, cosine similarity=0.12
tack pin 1970, cosine similarity=0.23
tack pin 1980, cosine similarity=0.22

tack horse 1930, cosine similarity=0.06
tack horse 1940, cosine similarity=0.09
tack horse 1950, cosine similarity=0.11
tack horse 1960, cosine similarity=0.13
tack horse 1970, cosine similarity=0.18
tack horse 1980, cosine similarity=0.18

tack hammer 1930, cosine similarity=0.19
tack hammer 1940, cosine similarity=0.19
tack hammer 1950, cosine similarity=0.25
tack hammer 1960, cosine similarity=0.26
tack hammer 1970, cosine similarity=0.22
tack hammer 1980, cosine similarity=0.26

tack board 1930, cosine similarity=0.06
tack board 1940, cosine similarity=0.02
tack board 1950, cosine similarity=0.09
tack board 1960, cosine similarity=0.12
tack board 1970, cosine similarity=0.13
tack board 1980, cosine similarity=0.10

tack staple 1930, cosine similarity=0.01
tack staple 1940, cosine similarity=0.03
tack staple 1950, cosine similarity=0.08
tack staple 1960, cosine similarity=-0.03
tack staple 1970, cosine similarity=0.12
tack staple 1980, cosine similarity=-0.02

tack stick 1930, cosine similarity=0.15
tack stick 1940, cosine similarity=0.24
tack stick 1950, cosine similarity=0.22
tack stick 1960, cosine similarity=0.20
tack stick 1970, cosine similarity=0.22
tack stick 1980, cosine similarity=0.26

tack foot 1930, cosine similarity=0.14
tack foot 1940, cosine similarity=0.14
tack foot 1950, cosine similarity=0.12
tack foot 1960, cosine similarity=0.18
tack foot 1970, cosine similarity=0.14
tack foot 1980, cosine similarity=0.20

tack picture 1930, cosine similarity=-0.02
tack picture 1940, cosine similarity=0.07
tack picture 1950, cosine similarity=0.07
tack picture 1960, cosine similarity=0.08
tack picture 1970, cosine similarity=0.03
tack picture 1980, cosine similarity=0.09

tack sit 1930, cosine similarity=0.09
tack sit 1940, cosine similarity=0.08
tack sit 1950, cosine similarity=0.13
tack sit 1960, cosine similarity=0.15
tack sit 1970, cosine similarity=0.13
tack sit 1980, cosine similarity=0.17

tackle football 1930, cosine similarity=0.16
tackle football 1940, cosine similarity=0.16
tackle football 1950, cosine similarity=0.17
tackle football 1960, cosine similarity=0.16
tackle football 1970, cosine similarity=0.14
tackle football 1980, cosine similarity=0.18

tackle fishing 1930, cosine similarity=0.24
tackle fishing 1940, cosine similarity=0.27
tackle fishing 1950, cosine similarity=0.23
tackle fishing 1960, cosine similarity=0.28
tackle fishing 1970, cosine similarity=0.20
tackle fishing 1980, cosine similarity=0.31

tackle bait 1930, cosine similarity=0.24
tackle bait 1940, cosine similarity=0.21
tackle bait 1950, cosine similarity=0.29
tackle bait 1960, cosine similarity=0.20
tackle bait 1970, cosine similarity=0.24
tackle bait 1980, cosine similarity=0.31

tackle fish 1930, cosine similarity=0.08
tackle fish 1940, cosine similarity=0.07
tackle fish 1950, cosine similarity=0.09
tackle fish 1960, cosine similarity=0.15
tackle fish 1970, cosine similarity=0.06
tackle fish 1980, cosine similarity=0.12

tackle box 1930, cosine similarity=0.11
tackle box 1940, cosine similarity=0.08
tackle box 1950, cosine similarity=0.03
tackle box 1960, cosine similarity=0.11
tackle box 1970, cosine similarity=0.02
tackle box 1980, cosine similarity=0.11

tackle attack 1930, cosine similarity=0.12
tackle attack 1940, cosine similarity=0.06
tackle attack 1950, cosine similarity=0.07
tackle attack 1960, cosine similarity=0.06
tackle attack 1970, cosine similarity=0.16
tackle attack 1980, cosine similarity=0.12

tackle fight 1930, cosine similarity=0.26
tackle fight 1940, cosine similarity=0.22
tackle fight 1950, cosine similarity=0.22
tackle fight 1960, cosine similarity=0.26
tackle fight 1970, cosine similarity=0.21
tackle fight 1980, cosine similarity=0.22

tackle ball 1930, cosine similarity=0.13
tackle ball 1940, cosine similarity=0.17
tackle ball 1950, cosine similarity=0.05
tackle ball 1960, cosine similarity=0.05
tackle ball 1970, cosine similarity=0.07
tackle ball 1980, cosine similarity=0.15

tackle defense 1930, cosine similarity=0.07
tackle defense 1940, cosine similarity=0.07
tackle defense 1950, cosine similarity=0.03
tackle defense 1960, cosine similarity=-0.06
tackle defense 1970, cosine similarity=0.05
tackle defense 1980, cosine similarity=-0.02

tackle down 1930, cosine similarity=0.13
tackle down 1940, cosine similarity=0.14
tackle down 1950, cosine similarity=0.17
tackle down 1960, cosine similarity=0.16
tackle down 1970, cosine similarity=0.08
tackle down 1980, cosine similarity=0.18

tackle grab 1930, cosine similarity=0.21
tackle grab 1940, cosine similarity=0.17
tackle grab 1950, cosine similarity=0.29
tackle grab 1960, cosine similarity=0.16
tackle grab 1970, cosine similarity=0.22
tackle grab 1980, cosine similarity=0.22

tact polite 1930, cosine similarity=0.16
tact polite 1940, cosine similarity=0.18
tact polite 1950, cosine similarity=0.18
tact polite 1960, cosine similarity=0.16
tact polite 1970, cosine similarity=0.14
tact polite 1980, cosine similarity=0.09

tact tactful 1930, cosine similarity=0.16
tact tactful 1940, cosine similarity=0.17
tact tactful 1950, cosine similarity=0.14
tact tactful 1960, cosine similarity=0.07
tact tactful 1970, cosine similarity=0.16
tact tactful 1980, cosine similarity=0.07

tact class 1930, cosine similarity=-0.02
tact class 1940, cosine similarity=-0.07
tact class 1950, cosine similarity=-0.02
tact class 1960, cosine similarity=-0.06
tact class 1970, cosine similarity=-0.04
tact class 1980, cosine similarity=-0.04

tact couth 1930, cosine similarity=0.00
tact couth 1940, cosine similarity=0.00
tact couth 1950, cosine similarity=0.00
tact couth 1960, cosine similarity=0.00
tact couth 1970, cosine similarity=0.00
tact couth 1980, cosine similarity=0.00

tact diplomacy 1930, cosine similarity=0.25
tact diplomacy 1940, cosine similarity=0.24
tact diplomacy 1950, cosine similarity=0.30
tact diplomacy 1960, cosine similarity=0.25
tact diplomacy 1970, cosine similarity=0.25
tact diplomacy 1980, cosine similarity=0.23

tact manners 1930, cosine similarity=0.21
tact manners 1940, cosine similarity=0.25
tact manners 1950, cosine similarity=0.24
tact manners 1960, cosine similarity=0.19
tact manners 1970, cosine similarity=0.22
tact manners 1980, cosine similarity=0.26

tact nice 1930, cosine similarity=0.18
tact nice 1940, cosine similarity=0.18
tact nice 1950, cosine similarity=0.15
tact nice 1960, cosine similarity=0.15
tact nice 1970, cosine similarity=0.13
tact nice 1980, cosine similarity=0.13

tact careful 1930, cosine similarity=0.16
tact careful 1940, cosine similarity=0.13
tact careful 1950, cosine similarity=0.18
tact careful 1960, cosine similarity=0.19
tact careful 1970, cosine similarity=0.12
tact careful 1980, cosine similarity=0.22

tact good 1930, cosine similarity=0.22
tact good 1940, cosine similarity=0.14
tact good 1950, cosine similarity=0.27
tact good 1960, cosine similarity=0.21
tact good 1970, cosine similarity=0.28
tact good 1980, cosine similarity=0.23

tact finesse 1930, cosine similarity=0.00
tact finesse 1940, cosine similarity=0.00
tact finesse 1950, cosine similarity=0.00
tact finesse 1960, cosine similarity=0.27
tact finesse 1970, cosine similarity=0.33
tact finesse 1980, cosine similarity=0.25

tact grace 1930, cosine similarity=0.26
tact grace 1940, cosine similarity=0.16
tact grace 1950, cosine similarity=0.22
tact grace 1960, cosine similarity=0.22
tact grace 1970, cosine similarity=0.22
tact grace 1980, cosine similarity=0.20

tact neat 1930, cosine similarity=0.08
tact neat 1940, cosine similarity=0.01
tact neat 1950, cosine similarity=0.02
tact neat 1960, cosine similarity=0.05
tact neat 1970, cosine similarity=0.00
tact neat 1980, cosine similarity=0.08

tact reason 1930, cosine similarity=0.07
tact reason 1940, cosine similarity=0.10
tact reason 1950, cosine similarity=0.18
tact reason 1960, cosine similarity=0.08
tact reason 1970, cosine similarity=0.04
tact reason 1980, cosine similarity=0.18

tact smart 1930, cosine similarity=0.07
tact smart 1940, cosine similarity=0.17
tact smart 1950, cosine similarity=0.07
tact smart 1960, cosine similarity=0.14
tact smart 1970, cosine similarity=0.10
tact smart 1980, cosine similarity=0.08

tact touch 1930, cosine similarity=0.17
tact touch 1940, cosine similarity=0.07
tact touch 1950, cosine similarity=0.16
tact touch 1960, cosine similarity=0.24
tact touch 1970, cosine similarity=0.24
tact touch 1980, cosine similarity=0.21

tactful nice 1930, cosine similarity=0.15
tactful nice 1940, cosine similarity=0.20
tactful nice 1950, cosine similarity=0.17
tactful nice 1960, cosine similarity=0.10
tactful nice 1970, cosine similarity=0.12
tactful nice 1980, cosine similarity=0.23

tactful manners 1930, cosine similarity=0.10
tactful manners 1940, cosine similarity=0.12
tactful manners 1950, cosine similarity=0.11
tactful manners 1960, cosine similarity=0.13
tactful manners 1970, cosine similarity=0.13
tactful manners 1980, cosine similarity=0.15

tactful skillful 1930, cosine similarity=0.13
tactful skillful 1940, cosine similarity=0.05
tactful skillful 1950, cosine similarity=0.23
tactful skillful 1960, cosine similarity=0.13
tactful skillful 1970, cosine similarity=0.14
tactful skillful 1980, cosine similarity=0.15

tactful careful 1930, cosine similarity=0.14
tactful careful 1940, cosine similarity=0.13
tactful careful 1950, cosine similarity=0.11
tactful careful 1960, cosine similarity=0.05
tactful careful 1970, cosine similarity=0.11
tactful careful 1980, cosine similarity=0.16

tactful polite 1930, cosine similarity=0.22
tactful polite 1940, cosine similarity=0.24
tactful polite 1950, cosine similarity=0.22
tactful polite 1960, cosine similarity=0.24
tactful polite 1970, cosine similarity=0.23
tactful polite 1980, cosine similarity=0.34

tactful tasteful 1930, cosine similarity=0.00
tactful tasteful 1940, cosine similarity=0.00
tactful tasteful 1950, cosine similarity=0.00
tactful tasteful 1960, cosine similarity=0.00
tactful tasteful 1970, cosine similarity=0.00
tactful tasteful 1980, cosine similarity=0.00

tactful kind 1930, cosine similarity=0.11
tactful kind 1940, cosine similarity=0.07
tactful kind 1950, cosine similarity=0.08
tactful kind 1960, cosine similarity=0.02
tactful kind 1970, cosine similarity=-0.06
tactful kind 1980, cosine similarity=0.13

tactful rude 1930, cosine similarity=0.03
tactful rude 1940, cosine similarity=0.11
tactful rude 1950, cosine similarity=0.09
tactful rude 1960, cosine similarity=0.10
tactful rude 1970, cosine similarity=0.10
tactful rude 1980, cosine similarity=0.34

tactful smart 1930, cosine similarity=0.14
tactful smart 1940, cosine similarity=0.16
tactful smart 1950, cosine similarity=0.09
tactful smart 1960, cosine similarity=0.11
tactful smart 1970, cosine similarity=0.16
tactful smart 1980, cosine similarity=0.18

tactful tacky 1930, cosine similarity=0.00
tactful tacky 1940, cosine similarity=0.00
tactful tacky 1950, cosine similarity=0.00
tactful tacky 1960, cosine similarity=0.00
tactful tacky 1970, cosine similarity=0.00
tactful tacky 1980, cosine similarity=0.00

tactful thoughtful 1930, cosine similarity=0.23
tactful thoughtful 1940, cosine similarity=0.19
tactful thoughtful 1950, cosine similarity=0.22
tactful thoughtful 1960, cosine similarity=0.13
tactful thoughtful 1970, cosine similarity=0.15
tactful thoughtful 1980, cosine similarity=0.27

tactful blunt 1930, cosine similarity=0.08
tactful blunt 1940, cosine similarity=0.09
tactful blunt 1950, cosine similarity=0.07
tactful blunt 1960, cosine similarity=0.08
tactful blunt 1970, cosine similarity=0.03
tactful blunt 1980, cosine similarity=0.14

