cue target 1930, cosine similarity=0.09
pack carry 1950, cosine similarity=0.18
pack carry 1960, cosine similarity=0.18
pack carry 1970, cosine similarity=0.20
pack carry 1980, cosine similarity=0.17

pack gather 1930, cosine similarity=0.10
pack gather 1940, cosine similarity=0.09
pack gather 1950, cosine similarity=0.05
pack gather 1960, cosine similarity=0.11
pack gather 1970, cosine similarity=0.18
pack gather 1980, cosine similarity=0.08

pack soda 1930, cosine similarity=0.15
pack soda 1940, cosine similarity=0.05
pack soda 1950, cosine similarity=0.07
pack soda 1960, cosine similarity=0.15
pack soda 1970, cosine similarity=0.15
pack soda 1980, cosine similarity=0.22

pack store 1930, cosine similarity=0.18
pack store 1940, cosine similarity=0.16
pack store 1950, cosine similarity=0.16
pack store 1960, cosine similarity=0.18
pack store 1970, cosine similarity=0.20
pack store 1980, cosine similarity=0.17

pack travel 1930, cosine similarity=0.12
pack travel 1940, cosine similarity=0.09
pack travel 1950, cosine similarity=0.06
pack travel 1960, cosine similarity=0.20
pack travel 1970, cosine similarity=0.11
pack travel 1980, cosine similarity=0.14

pack unpack 1930, cosine similarity=0.00
pack unpack 1940, cosine similarity=0.00
pack unpack 1950, cosine similarity=0.00
pack unpack 1960, cosine similarity=0.00
pack unpack 1970, cosine similarity=0.17
pack unpack 1980, cosine similarity=0.24

package box 1930, cosine similarity=0.36
package box 1940, cosine similarity=0.44
package box 1950, cosine similarity=0.32
package box 1960, cosine similarity=0.26
package box 1970, cosine similarity=0.27
package box 1980, cosine similarity=0.19

package present 1930, cosine similarity=-0.08
package present 1940, cosine similarity=-0.09
package present 1950, cosine similarity=-0.04
package present 1960, cosine similarity=-0.12
package present 1970, cosine similarity=-0.03
package present 1980, cosine similarity=-0.12

package gift 1930, cosine similarity=0.07
package gift 1940, cosine similarity=0.12
package gift 1950, cosine similarity=0.10
package gift 1960, cosine similarity=0.12
package gift 1970, cosine similarity=0.14
package gift 1980, cosine similarity=0.09

package mail 1930, cosine similarity=0.33
package mail 1940, cosine similarity=0.30
package mail 1950, cosine similarity=0.28
package mail 1960, cosine similarity=0.26
package mail 1970, cosine similarity=0.23
package mail 1980, cosine similarity=0.17

package ups 1930, cosine similarity=0.00
package ups 1940, cosine similarity=0.03
package ups 1950, cosine similarity=0.06
package ups 1960, cosine similarity=0.05
package ups 1970, cosine similarity=-0.01
package ups 1980, cosine similarity=0.06

package wrap 1930, cosine similarity=0.14
package wrap 1940, cosine similarity=0.24
package wrap 1950, cosine similarity=0.24
package wrap 1960, cosine similarity=0.26
package wrap 1970, cosine similarity=0.20
package wrap 1980, cosine similarity=0.16

package deliver 1930, cosine similarity=0.21
package deliver 1940, cosine similarity=0.22
package deliver 1950, cosine similarity=0.19
package deliver 1960, cosine similarity=0.20
package deliver 1970, cosine similarity=0.15
package deliver 1980, cosine similarity=0.17

package send 1930, cosine similarity=0.15
package send 1940, cosine similarity=0.27
package send 1950, cosine similarity=0.17
package send 1960, cosine similarity=0.17
package send 1970, cosine similarity=0.13
package send 1980, cosine similarity=0.22

package christmas 1930, cosine similarity=0.00
package christmas 1940, cosine similarity=0.03
package christmas 1950, cosine similarity=0.09
package christmas 1960, cosine similarity=0.11
package christmas 1970, cosine similarity=0.07
package christmas 1980, cosine similarity=0.04

package parcel 1930, cosine similarity=0.41
package parcel 1940, cosine similarity=0.35
package parcel 1950, cosine similarity=0.36
package parcel 1960, cosine similarity=0.34
package parcel 1970, cosine similarity=0.30
package parcel 1980, cosine similarity=0.23

package brown 1930, cosine similarity=0.17
package brown 1940, cosine similarity=0.05
package brown 1950, cosine similarity=0.14
package brown 1960, cosine similarity=0.15
package brown 1970, cosine similarity=0.12
package brown 1980, cosine similarity=0.04

package big 1930, cosine similarity=0.06
package big 1940, cosine similarity=0.11
package big 1950, cosine similarity=0.11
package big 1960, cosine similarity=0.07
package big 1970, cosine similarity=0.01
package big 1980, cosine similarity=0.04

package bomb 1930, cosine similarity=0.15
package bomb 1940, cosine similarity=0.07
package bomb 1950, cosine similarity=0.05
package bomb 1960, cosine similarity=0.11
package bomb 1970, cosine similarity=0.08
package bomb 1980, cosine similarity=0.04

package deal 1930, cosine similarity=-0.06
package deal 1940, cosine similarity=-0.04
package deal 1950, cosine similarity=0.07
package deal 1960, cosine similarity=0.11
package deal 1970, cosine similarity=0.10
package deal 1980, cosine similarity=0.10

package envelope 1930, cosine similarity=0.42
package envelope 1940, cosine similarity=0.42
package envelope 1950, cosine similarity=0.42
package envelope 1960, cosine similarity=0.36
package envelope 1970, cosine similarity=0.36
package envelope 1980, cosine similarity=0.25

package open 1930, cosine similarity=0.17
package open 1940, cosine similarity=0.18
package open 1950, cosine similarity=0.06
package open 1960, cosine similarity=0.09
package open 1970, cosine similarity=0.17
package open 1980, cosine similarity=0.07

package paper 1930, cosine similarity=0.32
package paper 1940, cosine similarity=0.33
package paper 1950, cosine similarity=0.29
package paper 1960, cosine similarity=0.24
package paper 1970, cosine similarity=0.23
package paper 1980, cosine similarity=0.23

package ship 1930, cosine similarity=0.16
package ship 1940, cosine similarity=0.16
package ship 1950, cosine similarity=0.15
package ship 1960, cosine similarity=0.13
package ship 1970, cosine similarity=0.11
package ship 1980, cosine similarity=-0.04

package store 1930, cosine similarity=0.23
package store 1940, cosine similarity=0.25
package store 1950, cosine similarity=0.24
package store 1960, cosine similarity=0.23
package store 1970, cosine similarity=0.22
package store 1980, cosine similarity=0.14

pad paper 1930, cosine similarity=0.41
pad paper 1940, cosine similarity=0.39
pad paper 1950, cosine similarity=0.40
pad paper 1960, cosine similarity=0.38
pad paper 1970, cosine similarity=0.34
pad paper 1980, cosine similarity=0.28

pad pen 1930, cosine similarity=0.31
pad pen 1940, cosine similarity=0.31
pad pen 1950, cosine similarity=0.31
pad pen 1960, cosine similarity=0.28
pad pen 1970, cosine similarity=0.36
pad pen 1980, cosine similarity=0.31

pad pencil 1930, cosine similarity=0.42
pad pencil 1940, cosine similarity=0.41
pad pencil 1950, cosine similarity=0.47
pad pencil 1960, cosine similarity=0.40
pad pencil 1970, cosine similarity=0.36
pad pencil 1980, cosine similarity=0.37

pad write 1930, cosine similarity=0.11
pad write 1940, cosine similarity=0.16
pad write 1950, cosine similarity=0.20
pad write 1960, cosine similarity=0.10
pad write 1970, cosine similarity=0.19
pad write 1980, cosine similarity=0.15

pad cushion 1930, cosine similarity=0.25
pad cushion 1940, cosine similarity=0.21
pad cushion 1950, cosine similarity=0.34
pad cushion 1960, cosine similarity=0.27
pad cushion 1970, cosine similarity=0.28
pad cushion 1980, cosine similarity=0.23

pad notebook 1930, cosine similarity=0.31
pad notebook 1940, cosine similarity=0.34
pad notebook 1950, cosine similarity=0.37
pad notebook 1960, cosine similarity=0.37
pad notebook 1970, cosine similarity=0.43
pad notebook 1980, cosine similarity=0.42

pad apartment 1930, cosine similarity=0.04
pad apartment 1940, cosine similarity=-0.03
pad apartment 1950, cosine similarity=0.02
pad apartment 1960, cosine similarity=-0.02
pad apartment 1970, cosine similarity=0.04
pad apartment 1980, cosine similarity=0.03

pad soft 1930, cosine similarity=0.29
pad soft 1940, cosine similarity=0.24
pad soft 1950, cosine similarity=0.28
pad soft 1960, cosine similarity=0.20
pad soft 1970, cosine similarity=0.18
pad soft 1980, cosine similarity=0.20

pad mattress 1930, cosine similarity=0.29
pad mattress 1940, cosine similarity=0.30
pad mattress 1950, cosine similarity=0.33
pad mattress 1960, cosine similarity=0.33
pad mattress 1970, cosine similarity=0.25
pad mattress 1980, cosine similarity=0.28

pad period 1930, cosine similarity=-0.02
pad period 1940, cosine similarity=0.01
pad period 1950, cosine similarity=-0.03
pad period 1960, cosine similarity=0.04
pad period 1970, cosine similarity=-0.05
pad period 1980, cosine similarity=-0.07

pad cover 1930, cosine similarity=0.23
pad cover 1940, cosine similarity=0.13
pad cover 1950, cosine similarity=0.16
pad cover 1960, cosine similarity=0.18
pad cover 1970, cosine similarity=0.20
pad cover 1980, cosine similarity=0.14

pad house 1930, cosine similarity=-0.05
pad house 1940, cosine similarity=0.03
pad house 1950, cosine similarity=-0.05
pad house 1960, cosine similarity=-0.02
pad house 1970, cosine similarity=0.00
pad house 1980, cosine similarity=0.02

pad seat 1930, cosine similarity=0.09
pad seat 1940, cosine similarity=0.04
pad seat 1950, cosine similarity=0.11
pad seat 1960, cosine similarity=0.10
pad seat 1970, cosine similarity=0.13
pad seat 1980, cosine similarity=0.14

padding bra 1930, cosine similarity=0.00
padding bra 1940, cosine similarity=0.00
padding bra 1950, cosine similarity=0.00
padding bra 1960, cosine similarity=0.00
padding bra 1970, cosine similarity=0.28
padding bra 1980, cosine similarity=0.09

padding cushion 1930, cosine similarity=0.00
padding cushion 1940, cosine similarity=0.00
padding cushion 1950, cosine similarity=0.00
padding cushion 1960, cosine similarity=0.00
padding cushion 1970, cosine similarity=0.14
padding cushion 1980, cosine similarity=0.14

padding soft 1930, cosine similarity=0.00
padding soft 1940, cosine similarity=0.00
padding soft 1950, cosine similarity=0.00
padding soft 1960, cosine similarity=0.00
padding soft 1970, cosine similarity=0.16
padding soft 1980, cosine similarity=0.06

padding bed 1930, cosine similarity=0.00
padding bed 1940, cosine similarity=0.00
padding bed 1950, cosine similarity=0.00
padding bed 1960, cosine similarity=0.00
padding bed 1970, cosine similarity=0.12
padding bed 1980, cosine similarity=0.10

padding carpet 1930, cosine similarity=0.00
padding carpet 1940, cosine similarity=0.00
padding carpet 1950, cosine similarity=0.00
padding carpet 1960, cosine similarity=0.00
padding carpet 1970, cosine similarity=0.19
padding carpet 1980, cosine similarity=0.16

padding football 1930, cosine similarity=0.00
padding football 1940, cosine similarity=0.00
padding football 1950, cosine similarity=0.00
padding football 1960, cosine similarity=0.00
padding football 1970, cosine similarity=0.01
padding football 1980, cosine similarity=0.06

padding pillow 1930, cosine similarity=0.00
padding pillow 1940, cosine similarity=0.00
padding pillow 1950, cosine similarity=0.00
padding pillow 1960, cosine similarity=0.00
padding pillow 1970, cosine similarity=0.21
padding pillow 1980, cosine similarity=0.14

padding protection 1930, cosine similarity=0.00
padding protection 1940, cosine similarity=0.00
padding protection 1950, cosine similarity=0.00
padding protection 1960, cosine similarity=0.00
padding protection 1970, cosine similarity=-0.03
padding protection 1980, cosine similarity=-0.06

padding seat 1930, cosine similarity=0.00
padding seat 1940, cosine similarity=0.00
padding seat 1950, cosine similarity=0.00
padding seat 1960, cosine similarity=0.00
padding seat 1970, cosine similarity=0.13
padding seat 1980, cosine similarity=0.07

padding shoulder 1930, cosine similarity=0.00
padding shoulder 1940, cosine similarity=0.00
padding shoulder 1950, cosine similarity=0.00
padding shoulder 1960, cosine similarity=0.00
padding shoulder 1970, cosine similarity=0.14
padding shoulder 1980, cosine similarity=0.20

padding foam 1930, cosine similarity=0.00
padding foam 1940, cosine similarity=0.00
padding foam 1950, cosine similarity=0.00
padding foam 1960, cosine similarity=0.00
padding foam 1970, cosine similarity=0.26
padding foam 1980, cosine similarity=0.08

padding stuffing 1930, cosine similarity=0.00
padding stuffing 1940, cosine similarity=0.00
padding stuffing 1950, cosine similarity=0.00
padding stuffing 1960, cosine similarity=0.00
padding stuffing 1970, cosine similarity=0.20
padding stuffing 1980, cosine similarity=0.07

padding cell 1930, cosine similarity=0.00
padding cell 1940, cosine similarity=0.00
padding cell 1950, cosine similarity=0.00
padding cell 1960, cosine similarity=0.00
padding cell 1970, cosine similarity=0.02
padding cell 1980, cosine similarity=0.02

padding comfort 1930, cosine similarity=0.00
padding comfort 1940, cosine similarity=0.00
padding comfort 1950, cosine similarity=0.00
padding comfort 1960, cosine similarity=0.00
padding comfort 1970, cosine similarity=-0.04
padding comfort 1980, cosine similarity=0.04

padding diaper 1930, cosine similarity=0.00
padding diaper 1940, cosine similarity=0.00
padding diaper 1950, cosine similarity=0.00
padding diaper 1960, cosine similarity=0.00
padding diaper 1970, cosine similarity=0.20
padding diaper 1980, cosine similarity=0.09

padding shirt 1930, cosine similarity=0.00
padding shirt 1940, cosine similarity=0.00
padding shirt 1950, cosine similarity=0.00
padding shirt 1960, cosine similarity=0.00
padding shirt 1970, cosine similarity=0.14
padding shirt 1980, cosine similarity=0.20

paddle boat 1930, cosine similarity=0.43
paddle boat 1940, cosine similarity=0.38
paddle boat 1950, cosine similarity=0.35
paddle boat 1960, cosine similarity=0.29
paddle boat 1970, cosine similarity=0.26
paddle boat 1980, cosine similarity=0.35

paddle oar 1930, cosine similarity=0.45
paddle oar 1940, cosine similarity=0.36
paddle oar 1950, cosine similarity=0.39
paddle oar 1960, cosine similarity=0.35
paddle oar 1970, cosine similarity=0.31
paddle oar 1980, cosine similarity=0.31

paddle canoe 1930, cosine similarity=0.46
paddle canoe 1940, cosine similarity=0.49
paddle canoe 1950, cosine similarity=0.43
paddle canoe 1960, cosine similarity=0.40
paddle canoe 1970, cosine similarity=0.36
paddle canoe 1980, cosine similarity=0.44

paddle spank 1930, cosine similarity=0.00
paddle spank 1940, cosine similarity=0.00
paddle spank 1950, cosine similarity=0.00
paddle spank 1960, cosine similarity=0.00
paddle spank 1970, cosine similarity=0.00
paddle spank 1980, cosine similarity=0.27

paddle hit 1930, cosine similarity=0.15
paddle hit 1940, cosine similarity=0.18
paddle hit 1950, cosine similarity=0.16
paddle hit 1960, cosine similarity=0.22
paddle hit 1970, cosine similarity=0.29
paddle hit 1980, cosine similarity=0.19

paddle row 1930, cosine similarity=0.18
paddle row 1940, cosine similarity=0.20
paddle row 1950, cosine similarity=0.16
paddle row 1960, cosine similarity=0.12
paddle row 1970, cosine similarity=0.12
paddle row 1980, cosine similarity=0.09

paddle ball 1930, cosine similarity=0.16
paddle ball 1940, cosine similarity=0.24
paddle ball 1950, cosine similarity=0.16
paddle ball 1960, cosine similarity=0.23
paddle ball 1970, cosine similarity=0.26
paddle ball 1980, cosine similarity=0.21

paddle hurt 1930, cosine similarity=0.04
paddle hurt 1940, cosine similarity=0.05
paddle hurt 1950, cosine similarity=0.16
paddle hurt 1960, cosine similarity=0.12
paddle hurt 1970, cosine similarity=0.11
paddle hurt 1980, cosine similarity=0.08

paddle punishment 1930, cosine similarity=-0.00
paddle punishment 1940, cosine similarity=-0.02
paddle punishment 1950, cosine similarity=-0.04
paddle punishment 1960, cosine similarity=-0.06
paddle punishment 1970, cosine similarity=-0.03
paddle punishment 1980, cosine similarity=-0.10

paddle childhood 1930, cosine similarity=-0.13
paddle childhood 1940, cosine similarity=-0.11
paddle childhood 1950, cosine similarity=-0.15
paddle childhood 1960, cosine similarity=-0.03
paddle childhood 1970, cosine similarity=0.00
paddle childhood 1980, cosine similarity=-0.09

paddle smack 1930, cosine similarity=0.12
paddle smack 1940, cosine similarity=0.14
paddle smack 1950, cosine similarity=0.18
paddle smack 1960, cosine similarity=0.18
paddle smack 1970, cosine similarity=0.15
paddle smack 1980, cosine similarity=0.22

paddle stroke 1930, cosine similarity=0.26
paddle stroke 1940, cosine similarity=0.25
paddle stroke 1950, cosine similarity=0.28
paddle stroke 1960, cosine similarity=0.23
paddle stroke 1970, cosine similarity=0.28
paddle stroke 1980, cosine similarity=0.20

paddle swim 1930, cosine similarity=0.31
paddle swim 1940, cosine similarity=0.24
paddle swim 1950, cosine similarity=0.22
paddle swim 1960, cosine similarity=0.24
paddle swim 1970, cosine similarity=0.17
paddle swim 1980, cosine similarity=0.29

paddle whip 1930, cosine similarity=0.32
paddle whip 1940, cosine similarity=0.22
paddle whip 1950, cosine similarity=0.23
paddle whip 1960, cosine similarity=0.30
paddle whip 1970, cosine similarity=0.25
paddle whip 1980, cosine similarity=0.27

paddy wagon 1930, cosine similarity=0.10
paddy wagon 1940, cosine similarity=0.17
paddy wagon 1950, cosine similarity=0.21
paddy wagon 1960, cosine similarity=0.17
paddy wagon 1970, cosine similarity=0.17
paddy wagon 1980, cosine similarity=0.23

paddy cake 1930, cosine similarity=0.18
paddy cake 1940, cosine similarity=0.21
paddy cake 1950, cosine similarity=0.09
paddy cake 1960, cosine similarity=0.17
paddy cake 1970, cosine similarity=0.07
paddy cake 1980, cosine similarity=0.11

paddy hamburger 1930, cosine similarity=0.00
paddy hamburger 1940, cosine similarity=0.00
paddy hamburger 1950, cosine similarity=0.00
paddy hamburger 1960, cosine similarity=0.10
paddy hamburger 1970, cosine similarity=0.16
paddy hamburger 1980, cosine similarity=0.14

paddy cushion 1930, cosine similarity=0.13
paddy cushion 1940, cosine similarity=0.06
paddy cushion 1950, cosine similarity=0.05
paddy cushion 1960, cosine similarity=0.09
paddy cushion 1970, cosine similarity=-0.00
paddy cushion 1980, cosine similarity=0.06

paddy rice 1930, cosine similarity=0.36
paddy rice 1940, cosine similarity=0.36
paddy rice 1950, cosine similarity=0.43
paddy rice 1960, cosine similarity=0.52
paddy rice 1970, cosine similarity=0.45
paddy rice 1980, cosine similarity=0.49

paddy soft 1930, cosine similarity=0.09
paddy soft 1940, cosine similarity=0.11
paddy soft 1950, cosine similarity=0.05
paddy soft 1960, cosine similarity=0.02
paddy soft 1970, cosine similarity=0.07
paddy soft 1980, cosine similarity=0.11

paddy cow 1930, cosine similarity=0.14
paddy cow 1940, cosine similarity=0.10
paddy cow 1950, cosine similarity=0.19
paddy cow 1960, cosine similarity=0.22
paddy cow 1970, cosine similarity=0.22
paddy cow 1980, cosine similarity=0.19

paddy daddy 1930, cosine similarity=0.04
paddy daddy 1940, cosine similarity=0.13
paddy daddy 1950, cosine similarity=-0.07
paddy daddy 1960, cosine similarity=-0.03
paddy daddy 1970, cosine similarity=-0.04
paddy daddy 1980, cosine similarity=0.08

paddy meat 1930, cosine similarity=0.16
paddy meat 1940, cosine similarity=0.18
paddy meat 1950, cosine similarity=0.18
paddy meat 1960, cosine similarity=0.14
paddy meat 1970, cosine similarity=0.20
paddy meat 1980, cosine similarity=0.22

paddy boat 1930, cosine similarity=0.03
paddy boat 1940, cosine similarity=0.06
paddy boat 1950, cosine similarity=0.02
paddy boat 1960, cosine similarity=0.02
paddy boat 1970, cosine similarity=0.08
paddy boat 1980, cosine similarity=-0.01

paddy irish 1930, cosine similarity=0.00
paddy irish 1940, cosine similarity=0.09
paddy irish 1950, cosine similarity=0.02
paddy irish 1960, cosine similarity=0.03
paddy irish 1970, cosine similarity=-0.03
paddy irish 1980, cosine similarity=0.18

paddy murphy 1930, cosine similarity=0.12
paddy murphy 1940, cosine similarity=0.01
paddy murphy 1950, cosine similarity=0.05
paddy murphy 1960, cosine similarity=0.02
paddy murphy 1970, cosine similarity=0.02
paddy murphy 1980, cosine similarity=0.08

paddy bear 1930, cosine similarity=-0.02
paddy bear 1940, cosine similarity=0.04
paddy bear 1950, cosine similarity=0.01
paddy bear 1960, cosine similarity=-0.04
paddy bear 1970, cosine similarity=-0.06
paddy bear 1980, cosine similarity=0.00

paddy comfortable 1930, cosine similarity=0.05
paddy comfortable 1940, cosine similarity=-0.06
paddy comfortable 1950, cosine similarity=-0.01
paddy comfortable 1960, cosine similarity=-0.01
paddy comfortable 1970, cosine similarity=-0.09
paddy comfortable 1980, cosine similarity=-0.07

paddy pad 1930, cosine similarity=0.11
paddy pad 1940, cosine similarity=0.00
paddy pad 1950, cosine similarity=0.12
paddy pad 1960, cosine similarity=0.00
paddy pad 1970, cosine similarity=0.11
paddy pad 1980, cosine similarity=0.12

paddy person 1930, cosine similarity=-0.14
paddy person 1940, cosine similarity=-0.05
paddy person 1950, cosine similarity=-0.03
paddy person 1960, cosine similarity=-0.10
paddy person 1970, cosine similarity=-0.13
paddy person 1980, cosine similarity=-0.18

paddy waddle 1930, cosine similarity=0.00
paddy waddle 1940, cosine similarity=0.00
paddy waddle 1950, cosine similarity=0.00
paddy waddle 1960, cosine similarity=0.00
paddy waddle 1970, cosine similarity=0.00
paddy waddle 1980, cosine similarity=0.00

page book 1930, cosine similarity=0.34
page book 1940, cosine similarity=0.33
page book 1950, cosine similarity=0.34
page book 1960, cosine similarity=0.38
page book 1970, cosine similarity=0.32
page book 1980, cosine similarity=0.23

page paper 1930, cosine similarity=0.32
page paper 1940, cosine similarity=0.30
page paper 1950, cosine similarity=0.31
page paper 1960, cosine similarity=0.32
page paper 1970, cosine similarity=0.29
page paper 1980, cosine similarity=0.30

page turn 1930, cosine similarity=0.13
page turn 1940, cosine similarity=0.12
page turn 1950, cosine similarity=0.19
page turn 1960, cosine similarity=0.14
page turn 1970, cosine similarity=0.05
page turn 1980, cosine similarity=0.16

page number 1930, cosine similarity=0.05
page number 1940, cosine similarity=0.04
page number 1950, cosine similarity=0.02
page number 1960, cosine similarity=0.07
page number 1970, cosine similarity=0.09
page number 1980, cosine similarity=0.14

page call 1930, cosine similarity=-0.03
page call 1940, cosine similarity=-0.07
page call 1950, cosine similarity=-0.03
page call 1960, cosine similarity=-0.06
page call 1970, cosine similarity=-0.03
page call 1980, cosine similarity=-0.00

page white 1930, cosine similarity=0.08
page white 1940, cosine similarity=0.09
page white 1950, cosine similarity=0.09
page white 1960, cosine similarity=0.08
page white 1970, cosine similarity=0.02
page white 1980, cosine similarity=0.05

page read 1930, cosine similarity=0.28
page read 1940, cosine similarity=0.31
page read 1950, cosine similarity=0.26
page read 1960, cosine similarity=0.31
page read 1970, cosine similarity=0.26
page read 1980, cosine similarity=0.27

page chapter 1930, cosine similarity=0.42
page chapter 1940, cosine similarity=0.35
page chapter 1950, cosine similarity=0.41
page chapter 1960, cosine similarity=0.39
page chapter 1970, cosine similarity=0.40
page chapter 1980, cosine similarity=0.34

page one 1930, cosine similarity=-0.03
page one 1940, cosine similarity=0.02
page one 1950, cosine similarity=0.02
page one 1960, cosine similarity=0.01
page one 1970, cosine similarity=0.07
page one 1980, cosine similarity=-0.01

page word 1930, cosine similarity=0.12
page word 1940, cosine similarity=0.13
page word 1950, cosine similarity=0.18
page word 1960, cosine similarity=0.15
page word 1970, cosine similarity=0.11
page word 1980, cosine similarity=0.19

pail bucket 1930, cosine similarity=0.44
pail bucket 1940, cosine similarity=0.58
pail bucket 1950, cosine similarity=0.56
pail bucket 1960, cosine similarity=0.47
pail bucket 1970, cosine similarity=0.40
pail bucket 1980, cosine similarity=0.42

pail water 1930, cosine similarity=0.35
pail water 1940, cosine similarity=0.39
pail water 1950, cosine similarity=0.34
pail water 1960, cosine similarity=0.36
pail water 1970, cosine similarity=0.34
pail water 1980, cosine similarity=0.37

pail shovel 1930, cosine similarity=0.32
pail shovel 1940, cosine similarity=0.28
pail shovel 1950, cosine similarity=0.38
pail shovel 1960, cosine similarity=0.26
pail shovel 1970, cosine similarity=0.39
pail shovel 1980, cosine similarity=0.31

pail pan 1930, cosine similarity=0.25
pail pan 1940, cosine similarity=0.24
pail pan 1950, cosine similarity=0.24
pail pan 1960, cosine similarity=0.27
pail pan 1970, cosine similarity=0.31
pail pan 1980, cosine similarity=0.23

pail white 1930, cosine similarity=0.10
pail white 1940, cosine similarity=0.08
pail white 1950, cosine similarity=0.13
pail white 1960, cosine similarity=0.01
pail white 1970, cosine similarity=0.17
pail white 1980, cosine similarity=0.12

pail paint 1930, cosine similarity=0.14
pail paint 1940, cosine similarity=0.15
pail paint 1950, cosine similarity=0.12
pail paint 1960, cosine similarity=0.17
pail paint 1970, cosine similarity=0.23
pail paint 1980, cosine similarity=0.16

pail sand 1930, cosine similarity=0.15
pail sand 1940, cosine similarity=0.18
pail sand 1950, cosine similarity=0.19
pail sand 1960, cosine similarity=0.22
pail sand 1970, cosine similarity=0.20
pail sand 1980, cosine similarity=0.16

