gag choke 1930, cosine similarity=0.18
gallon milk 1930, cosine similarity=0.30
gallon milk 1940, cosine similarity=0.29
gallon milk 1950, cosine similarity=0.29
gallon milk 1960, cosine similarity=0.32
gallon milk 1970, cosine similarity=0.32
gallon milk 1980, cosine similarity=0.31

gallon jug 1930, cosine similarity=0.34
gallon jug 1940, cosine similarity=0.37
gallon jug 1950, cosine similarity=0.36
gallon jug 1960, cosine similarity=0.36
gallon jug 1970, cosine similarity=0.32
gallon jug 1980, cosine similarity=0.42

gallon water 1930, cosine similarity=0.34
gallon water 1940, cosine similarity=0.43
gallon water 1950, cosine similarity=0.36
gallon water 1960, cosine similarity=0.36
gallon water 1970, cosine similarity=0.38
gallon water 1980, cosine similarity=0.36

gallon gas 1930, cosine similarity=0.26
gallon gas 1940, cosine similarity=0.25
gallon gas 1950, cosine similarity=0.23
gallon gas 1960, cosine similarity=0.21
gallon gas 1970, cosine similarity=0.25
gallon gas 1980, cosine similarity=0.25

gallon quart 1930, cosine similarity=0.59
gallon quart 1940, cosine similarity=0.53
gallon quart 1950, cosine similarity=0.58
gallon quart 1960, cosine similarity=0.56
gallon quart 1970, cosine similarity=0.43
gallon quart 1980, cosine similarity=0.46

gallon pint 1930, cosine similarity=0.57
gallon pint 1940, cosine similarity=0.57
gallon pint 1950, cosine similarity=0.55
gallon pint 1960, cosine similarity=0.58
gallon pint 1970, cosine similarity=0.54
gallon pint 1980, cosine similarity=0.52

gallon liter 1930, cosine similarity=0.43
gallon liter 1940, cosine similarity=0.41
gallon liter 1950, cosine similarity=0.43
gallon liter 1960, cosine similarity=0.39
gallon liter 1970, cosine similarity=0.43
gallon liter 1980, cosine similarity=0.44

gallon wine 1930, cosine similarity=0.31
gallon wine 1940, cosine similarity=0.34
gallon wine 1950, cosine similarity=0.35
gallon wine 1960, cosine similarity=0.37
gallon wine 1970, cosine similarity=0.34
gallon wine 1980, cosine similarity=0.32

gallon half 1930, cosine similarity=0.37
gallon half 1940, cosine similarity=0.30
gallon half 1950, cosine similarity=0.38
gallon half 1960, cosine similarity=0.30
gallon half 1970, cosine similarity=0.28
gallon half 1980, cosine similarity=0.32

gallon liquid 1930, cosine similarity=0.24
gallon liquid 1940, cosine similarity=0.22
gallon liquid 1950, cosine similarity=0.26
gallon liquid 1960, cosine similarity=0.19
gallon liquid 1970, cosine similarity=0.24
gallon liquid 1980, cosine similarity=0.26

gallon measure 1930, cosine similarity=-0.04
gallon measure 1940, cosine similarity=0.01
gallon measure 1950, cosine similarity=-0.02
gallon measure 1960, cosine similarity=-0.02
gallon measure 1970, cosine similarity=-0.00
gallon measure 1980, cosine similarity=0.08

gallon tank 1930, cosine similarity=0.30
gallon tank 1940, cosine similarity=0.26
gallon tank 1950, cosine similarity=0.29
gallon tank 1960, cosine similarity=0.30
gallon tank 1970, cosine similarity=0.29
gallon tank 1980, cosine similarity=0.27

gallon ton 1930, cosine similarity=0.44
gallon ton 1940, cosine similarity=0.50
gallon ton 1950, cosine similarity=0.43
gallon ton 1960, cosine similarity=0.41
gallon ton 1970, cosine similarity=0.43
gallon ton 1980, cosine similarity=0.40

gallop horse 1930, cosine similarity=0.40
gallop horse 1940, cosine similarity=0.40
gallop horse 1950, cosine similarity=0.39
gallop horse 1960, cosine similarity=0.36
gallop horse 1970, cosine similarity=0.35
gallop horse 1980, cosine similarity=0.38

gallop trot 1930, cosine similarity=0.56
gallop trot 1940, cosine similarity=0.54
gallop trot 1950, cosine similarity=0.53
gallop trot 1960, cosine similarity=0.50
gallop trot 1970, cosine similarity=0.45
gallop trot 1980, cosine similarity=0.49

gallop run 1930, cosine similarity=0.22
gallop run 1940, cosine similarity=0.26
gallop run 1950, cosine similarity=0.23
gallop run 1960, cosine similarity=0.27
gallop run 1970, cosine similarity=0.20
gallop run 1980, cosine similarity=0.22

gallop poll 1930, cosine similarity=-0.07
gallop poll 1940, cosine similarity=-0.01
gallop poll 1950, cosine similarity=-0.04
gallop poll 1960, cosine similarity=-0.05
gallop poll 1970, cosine similarity=-0.04
gallop poll 1980, cosine similarity=0.03

gallop ride 1930, cosine similarity=0.40
gallop ride 1940, cosine similarity=0.39
gallop ride 1950, cosine similarity=0.34
gallop ride 1960, cosine similarity=0.35
gallop ride 1970, cosine similarity=0.34
gallop ride 1980, cosine similarity=0.30

gallop hop 1930, cosine similarity=0.27
gallop hop 1940, cosine similarity=0.23
gallop hop 1950, cosine similarity=0.32
gallop hop 1960, cosine similarity=0.27
gallop hop 1970, cosine similarity=0.25
gallop hop 1980, cosine similarity=0.34

galoshes rain 1930, cosine similarity=0.00
galoshes rain 1940, cosine similarity=0.00
galoshes rain 1950, cosine similarity=0.00
galoshes rain 1960, cosine similarity=0.00
galoshes rain 1970, cosine similarity=0.00
galoshes rain 1980, cosine similarity=0.00

galoshes boots 1930, cosine similarity=0.00
galoshes boots 1940, cosine similarity=0.00
galoshes boots 1950, cosine similarity=0.00
galoshes boots 1960, cosine similarity=0.00
galoshes boots 1970, cosine similarity=0.00
galoshes boots 1980, cosine similarity=0.00

galoshes wet 1930, cosine similarity=0.00
galoshes wet 1940, cosine similarity=0.00
galoshes wet 1950, cosine similarity=0.00
galoshes wet 1960, cosine similarity=0.00
galoshes wet 1970, cosine similarity=0.00
galoshes wet 1980, cosine similarity=0.00

galoshes shoe 1930, cosine similarity=0.00
galoshes shoe 1940, cosine similarity=0.00
galoshes shoe 1950, cosine similarity=0.00
galoshes shoe 1960, cosine similarity=0.00
galoshes shoe 1970, cosine similarity=0.00
galoshes shoe 1980, cosine similarity=0.00

galoshes snow 1930, cosine similarity=0.00
galoshes snow 1940, cosine similarity=0.00
galoshes snow 1950, cosine similarity=0.00
galoshes snow 1960, cosine similarity=0.00
galoshes snow 1970, cosine similarity=0.00
galoshes snow 1980, cosine similarity=0.00

galoshes rubber 1930, cosine similarity=0.00
galoshes rubber 1940, cosine similarity=0.00
galoshes rubber 1950, cosine similarity=0.00
galoshes rubber 1960, cosine similarity=0.00
galoshes rubber 1970, cosine similarity=0.00
galoshes rubber 1980, cosine similarity=0.00

galoshes mud 1930, cosine similarity=0.00
galoshes mud 1940, cosine similarity=0.00
galoshes mud 1950, cosine similarity=0.00
galoshes mud 1960, cosine similarity=0.00
galoshes mud 1970, cosine similarity=0.00
galoshes mud 1980, cosine similarity=0.00

gamble lose 1930, cosine similarity=0.09
gamble lose 1940, cosine similarity=0.15
gamble lose 1950, cosine similarity=0.14
gamble lose 1960, cosine similarity=0.08
gamble lose 1970, cosine similarity=0.15
gamble lose 1980, cosine similarity=0.08

gamble money 1930, cosine similarity=0.14
gamble money 1940, cosine similarity=0.19
gamble money 1950, cosine similarity=0.13
gamble money 1960, cosine similarity=0.14
gamble money 1970, cosine similarity=0.17
gamble money 1980, cosine similarity=0.21

gamble bet 1930, cosine similarity=0.19
gamble bet 1940, cosine similarity=0.27
gamble bet 1950, cosine similarity=0.24
gamble bet 1960, cosine similarity=0.23
gamble bet 1970, cosine similarity=0.22
gamble bet 1980, cosine similarity=0.29

gamble win 1930, cosine similarity=0.08
gamble win 1940, cosine similarity=0.19
gamble win 1950, cosine similarity=0.06
gamble win 1960, cosine similarity=0.14
gamble win 1970, cosine similarity=0.17
gamble win 1980, cosine similarity=0.13

gamble dice 1930, cosine similarity=0.08
gamble dice 1940, cosine similarity=0.23
gamble dice 1950, cosine similarity=0.13
gamble dice 1960, cosine similarity=0.24
gamble dice 1970, cosine similarity=0.13
gamble dice 1980, cosine similarity=0.16

gamble risk 1930, cosine similarity=0.22
gamble risk 1940, cosine similarity=0.16
gamble risk 1950, cosine similarity=0.17
gamble risk 1960, cosine similarity=0.18
gamble risk 1970, cosine similarity=0.19
gamble risk 1980, cosine similarity=0.19

gamble casino 1930, cosine similarity=0.02
gamble casino 1940, cosine similarity=0.18
gamble casino 1950, cosine similarity=0.09
gamble casino 1960, cosine similarity=0.13
gamble casino 1970, cosine similarity=0.17
gamble casino 1980, cosine similarity=0.14

gamble vegas 1930, cosine similarity=0.08
gamble vegas 1940, cosine similarity=0.21
gamble vegas 1950, cosine similarity=0.09
gamble vegas 1960, cosine similarity=0.14
gamble vegas 1970, cosine similarity=0.15
gamble vegas 1980, cosine similarity=0.12

gamble chance 1930, cosine similarity=0.18
gamble chance 1940, cosine similarity=0.18
gamble chance 1950, cosine similarity=0.21
gamble chance 1960, cosine similarity=0.17
gamble chance 1970, cosine similarity=0.13
gamble chance 1980, cosine similarity=0.24

gamble cards 1930, cosine similarity=0.08
gamble cards 1940, cosine similarity=0.13
gamble cards 1950, cosine similarity=0.08
gamble cards 1960, cosine similarity=0.10
gamble cards 1970, cosine similarity=0.19
gamble cards 1980, cosine similarity=0.01

gamble waste 1930, cosine similarity=0.15
gamble waste 1940, cosine similarity=0.02
gamble waste 1950, cosine similarity=0.04
gamble waste 1960, cosine similarity=0.05
gamble waste 1970, cosine similarity=0.13
gamble waste 1980, cosine similarity=0.06

gamble poker 1930, cosine similarity=0.01
gamble poker 1940, cosine similarity=0.10
gamble poker 1950, cosine similarity=0.16
gamble poker 1960, cosine similarity=0.16
gamble poker 1970, cosine similarity=0.18
gamble poker 1980, cosine similarity=0.13

game play 1930, cosine similarity=0.42
game play 1940, cosine similarity=0.47
game play 1950, cosine similarity=0.39
game play 1960, cosine similarity=0.41
game play 1970, cosine similarity=0.43
game play 1980, cosine similarity=0.43

game fun 1930, cosine similarity=0.37
game fun 1940, cosine similarity=0.34
game fun 1950, cosine similarity=0.35
game fun 1960, cosine similarity=0.32
game fun 1970, cosine similarity=0.31
game fun 1980, cosine similarity=0.28

game monopoly 1930, cosine similarity=0.06
game monopoly 1940, cosine similarity=0.08
game monopoly 1950, cosine similarity=0.09
game monopoly 1960, cosine similarity=0.07
game monopoly 1970, cosine similarity=0.07
game monopoly 1980, cosine similarity=0.11

game football 1930, cosine similarity=0.47
game football 1940, cosine similarity=0.44
game football 1950, cosine similarity=0.47
game football 1960, cosine similarity=0.45
game football 1970, cosine similarity=0.46
game football 1980, cosine similarity=0.43

game room 1930, cosine similarity=0.01
game room 1940, cosine similarity=0.03
game room 1950, cosine similarity=-0.01
game room 1960, cosine similarity=-0.02
game room 1970, cosine similarity=0.01
game room 1980, cosine similarity=0.03

game board 1930, cosine similarity=-0.02
game board 1940, cosine similarity=0.02
game board 1950, cosine similarity=0.04
game board 1960, cosine similarity=0.02
game board 1970, cosine similarity=0.02
game board 1980, cosine similarity=-0.01

game baseball 1930, cosine similarity=0.41
game baseball 1940, cosine similarity=0.39
game baseball 1950, cosine similarity=0.39
game baseball 1960, cosine similarity=0.39
game baseball 1970, cosine similarity=0.43
game baseball 1980, cosine similarity=0.50

game racquetball 1930, cosine similarity=0.00
game racquetball 1940, cosine similarity=0.00
game racquetball 1950, cosine similarity=0.00
game racquetball 1960, cosine similarity=0.00
game racquetball 1970, cosine similarity=0.00
game racquetball 1980, cosine similarity=0.00

game show 1930, cosine similarity=0.09
game show 1940, cosine similarity=0.01
game show 1950, cosine similarity=0.07
game show 1960, cosine similarity=0.08
game show 1970, cosine similarity=0.03
game show 1980, cosine similarity=0.12

game win 1930, cosine similarity=0.26
game win 1940, cosine similarity=0.26
game win 1950, cosine similarity=0.24
game win 1960, cosine similarity=0.26
game win 1970, cosine similarity=0.28
game win 1980, cosine similarity=0.30

game card 1930, cosine similarity=0.24
game card 1940, cosine similarity=0.23
game card 1950, cosine similarity=0.20
game card 1960, cosine similarity=0.23
game card 1970, cosine similarity=0.24
game card 1980, cosine similarity=0.25

game life 1930, cosine similarity=0.11
game life 1940, cosine similarity=0.08
game life 1950, cosine similarity=0.12
game life 1960, cosine similarity=0.11
game life 1970, cosine similarity=0.08
game life 1980, cosine similarity=0.12

game tennis 1930, cosine similarity=0.41
game tennis 1940, cosine similarity=0.37
game tennis 1950, cosine similarity=0.39
game tennis 1960, cosine similarity=0.41
game tennis 1970, cosine similarity=0.38
game tennis 1980, cosine similarity=0.31

games fun 1930, cosine similarity=0.28
games fun 1940, cosine similarity=0.29
games fun 1950, cosine similarity=0.31
games fun 1960, cosine similarity=0.29
games fun 1970, cosine similarity=0.30
games fun 1980, cosine similarity=0.37

games play 1930, cosine similarity=0.35
games play 1940, cosine similarity=0.41
games play 1950, cosine similarity=0.37
games play 1960, cosine similarity=0.29
games play 1970, cosine similarity=0.34
games play 1980, cosine similarity=0.39

games monopoly 1930, cosine similarity=0.04
games monopoly 1940, cosine similarity=0.00
games monopoly 1950, cosine similarity=0.00
games monopoly 1960, cosine similarity=-0.00
games monopoly 1970, cosine similarity=0.07
games monopoly 1980, cosine similarity=0.04

games video 1930, cosine similarity=0.00
games video 1940, cosine similarity=0.01
games video 1950, cosine similarity=0.04
games video 1960, cosine similarity=0.04
games video 1970, cosine similarity=0.21
games video 1980, cosine similarity=0.28

games board 1930, cosine similarity=0.01
games board 1940, cosine similarity=-0.04
games board 1950, cosine similarity=-0.01
games board 1960, cosine similarity=0.01
games board 1970, cosine similarity=0.04
games board 1980, cosine similarity=-0.02

games nintendo 1930, cosine similarity=0.00
games nintendo 1940, cosine similarity=0.00
games nintendo 1950, cosine similarity=0.00
games nintendo 1960, cosine similarity=0.00
games nintendo 1970, cosine similarity=0.00
games nintendo 1980, cosine similarity=0.00

games toys 1930, cosine similarity=0.35
games toys 1940, cosine similarity=0.36
games toys 1950, cosine similarity=0.33
games toys 1960, cosine similarity=0.38
games toys 1970, cosine similarity=0.34
games toys 1980, cosine similarity=0.36

games football 1930, cosine similarity=0.44
games football 1940, cosine similarity=0.48
games football 1950, cosine similarity=0.42
games football 1960, cosine similarity=0.39
games football 1970, cosine similarity=0.39
games football 1980, cosine similarity=0.34

games war 1930, cosine similarity=0.08
games war 1940, cosine similarity=0.05
games war 1950, cosine similarity=0.08
games war 1960, cosine similarity=0.09
games war 1970, cosine similarity=0.08
games war 1980, cosine similarity=0.07

games computer 1930, cosine similarity=0.00
games computer 1940, cosine similarity=0.07
games computer 1950, cosine similarity=0.16
games computer 1960, cosine similarity=0.13
games computer 1970, cosine similarity=0.11
games computer 1980, cosine similarity=0.16

games people 1930, cosine similarity=0.02
games people 1940, cosine similarity=0.04
games people 1950, cosine similarity=0.03
games people 1960, cosine similarity=0.07
games people 1970, cosine similarity=0.08
games people 1980, cosine similarity=0.09

games sex 1930, cosine similarity=0.10
games sex 1940, cosine similarity=0.06
games sex 1950, cosine similarity=0.12
games sex 1960, cosine similarity=0.01
games sex 1970, cosine similarity=0.11
games sex 1980, cosine similarity=0.16

games sports 1930, cosine similarity=0.61
games sports 1940, cosine similarity=0.57
games sports 1950, cosine similarity=0.46
games sports 1960, cosine similarity=0.46
games sports 1970, cosine similarity=0.44
games sports 1980, cosine similarity=0.42

gander goose 1930, cosine similarity=0.00
gander goose 1940, cosine similarity=0.00
gander goose 1950, cosine similarity=0.33
gander goose 1960, cosine similarity=0.52
gander goose 1970, cosine similarity=0.47
gander goose 1980, cosine similarity=0.41

gander look 1930, cosine similarity=0.00
gander look 1940, cosine similarity=0.00
gander look 1950, cosine similarity=-0.01
gander look 1960, cosine similarity=-0.03
gander look 1970, cosine similarity=0.00
gander look 1980, cosine similarity=-0.03

gander guess 1930, cosine similarity=0.00
gander guess 1940, cosine similarity=0.00
gander guess 1950, cosine similarity=-0.00
gander guess 1960, cosine similarity=0.08
gander guess 1970, cosine similarity=-0.06
gander guess 1980, cosine similarity=-0.02

gander gaze 1930, cosine similarity=0.00
gander gaze 1940, cosine similarity=0.00
gander gaze 1950, cosine similarity=0.12
gander gaze 1960, cosine similarity=0.12
gander gaze 1970, cosine similarity=-0.02
